#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
1,Max Abmas,ORU,28,37.0,8.0,16.8,0.478,3.6,8.3,0.433,4.9,5.5,0.89,2.3,2.2,0.4,2.8,3.2,3.9,1.5,0.2,24.6,2021
2,Luka Garza,UI,31,31.6,9.1,16.4,0.5529999999999999,1.4,3.2,0.44,4.5,6.4,0.7090000000000001,1.5,2.3,3.0,5.7,8.7,1.7,0.7,1.6,24.1,2021
3,Antoine Davis,UDM,22,38.5,8.1,19.1,0.424,3.8,10.1,0.3720000000000001,4.0,4.4,0.917,3.3,1.6,0.2,2.7,2.9,4.8,1.5,0.0,24.0,2021
4,Cam Thomas,LSU,29,33.9,7.0,17.2,0.406,2.3,7.2,0.325,6.7,7.6,0.882,1.7,1.4,0.6,2.8,3.4,1.4,0.9,0.2,23.0,2021
5,A.J. Green,UNI,3,36.3,8.7,18.7,0.464,3.7,9.0,0.407,1.3,2.0,0.667,3.7,2.0,1.0,4.7,5.7,2.7,1.3,0.7,22.3,2021
6,Loren Cristian Jackson,AKR,23,35.2,7.1,17.6,0.405,2.5,7.6,0.331,5.5,6.2,0.8809999999999999,3.0,1.8,0.7,2.4,3.1,6.1,1.0,0.0,22.3,2021
7,T.J. Starks,CSUN,20,33.6,7.8,17.1,0.455,1.9,5.2,0.369,4.2,5.3,0.785,3.0,1.9,0.6,2.5,3.0,3.0,1.4,0.1,21.7,2021
8,Marcus Burk,IUPUI,18,34.1,7.7,15.9,0.481,2.5,6.1,0.409,3.8,4.8,0.802,3.2,2.7,0.4,3.3,3.7,2.2,1.8,0.4,21.7,2021
9,Terry Taylor,APSU,27,37.0,8.4,16.2,0.521,0.9,3.2,0.279,3.9,4.9,0.794,2.7,1.7,5.1,6.0,11.1,1.6,1.2,0.9,21.6,2021
10,Stanley Umude,USD,25,32.3,7.7,16.4,0.469,1.6,4.4,0.355,4.6,5.8,0.799,2.5,2.1,0.5,6.5,7.0,3.0,0.4,0.4,21.5,2021
11,Justin Jaworski,LC,15,36.1,7.0,15.1,0.463,2.6,6.5,0.398,4.9,5.3,0.912,2.3,1.6,0.4,3.3,3.7,2.3,1.5,0.0,21.5,2021
12,Santiago Aldama,L-MD,17,35.0,7.9,15.5,0.513,1.9,5.1,0.368,3.5,5.1,0.6859999999999999,3.2,1.9,1.8,8.3,10.1,2.3,1.0,1.7,21.2,2021
13,Davion Warren,HU,25,35.0,7.5,16.4,0.455,1.9,6.4,0.302,4.3,5.7,0.755,3.7,2.7,1.3,5.0,6.3,3.0,2.1,0.6,21.2,2021
14,Tristan Jarrett,JSU,18,31.8,6.7,15.9,0.42,2.4,6.7,0.358,5.3,6.3,0.8420000000000001,3.0,2.3,1.2,4.2,5.3,1.4,1.4,0.4,21.1,2021
15,Michael Flowers,USA,28,37.2,6.7,15.2,0.438,3.1,8.1,0.388,4.5,5.5,0.818,3.0,2.1,0.4,4.3,4.6,3.6,1.6,0.1,21.0,2021
16,A.J. Bramah,RMU,12,34.2,8.0,15.7,0.511,0.0,0.2,0.0,5.0,6.2,0.8,2.9,2.6,2.8,7.5,10.3,1.6,1.4,0.4,21.0,2021
17,"Scotty Pippen, Jr.",VU,22,31.8,6.2,14.5,0.428,2.0,5.5,0.358,6.5,7.6,0.85,3.8,2.5,1.0,1.8,2.8,4.9,1.8,0.2,20.8,2021
18,John-Michael Wright,HP,22,33.5,6.9,16.4,0.418,2.2,6.4,0.343,4.8,6.2,0.779,2.2,2.2,1.3,3.9,5.2,3.2,1.6,0.3,20.7,2021
19,Jamir Harris,AU,10,39.0,6.7,14.2,0.472,3.9,8.9,0.438,3.2,4.2,0.762,3.3,2.1,0.5,2.3,2.8,3.5,1.0,0.0,20.5,2021
20,Darrion Trammell,SEA,23,35.7,6.4,15.6,0.412,2.0,5.7,0.348,5.6,6.5,0.866,3.4,2.5,0.6,3.2,3.8,5.3,2.0,0.3,20.5,2021
21,Obadiah Noel,UML,19,32.5,6.3,13.0,0.486,1.5,4.7,0.326,6.1,8.1,0.753,3.3,2.8,1.1,3.4,4.5,3.1,1.1,0.2,20.3,2021
22,Cade Cunningham,OSU,27,35.4,6.5,14.8,0.438,2.3,5.7,0.4,4.9,5.8,0.846,4.0,2.5,0.7,5.5,6.2,3.5,1.6,0.8,20.1,2021
23,Ayo Dosunmu,U of I,28,35.2,7.5,15.4,0.488,1.1,3.0,0.386,4.0,5.1,0.7829999999999999,3.3,2.1,1.1,5.2,6.3,5.2,1.1,0.2,20.1,2021
24,"Phlandrous Fleming, Jr.",CSU,18,34.2,6.6,16.6,0.395,2.6,8.2,0.32,4.4,5.4,0.8059999999999999,2.7,2.7,0.9,6.5,7.4,2.3,1.8,0.9,20.1,2021
25,Jhivvan Jackson,UTSA,25,33.1,7.3,15.6,0.468,2.6,7.0,0.369,2.8,3.5,0.784,2.8,2.9,0.6,3.7,4.2,3.4,1.0,0.3,19.9,2021
26,Isiaih Mosley,MSU,24,33.7,7.0,13.9,0.505,1.4,3.7,0.386,4.4,5.2,0.847,3.4,2.3,0.6,5.7,6.2,3.1,1.0,0.1,19.8,2021
27,Julian Champagnie,STJ,25,32.8,6.6,15.3,0.433,2.4,6.3,0.38,4.1,4.6,0.887,1.9,1.8,1.6,5.7,7.4,1.3,1.4,1.0,19.8,2021
28,Matt Lewis,JMU,18,32.8,6.1,12.9,0.47,2.4,6.2,0.384,5.2,6.9,0.75,1.8,1.7,0.6,4.1,4.7,3.7,1.4,0.3,19.7,2021
29,Taevion Kinsey,MU,22,37.7,7.5,14.1,0.532,0.9,2.1,0.413,3.7,4.5,0.818,1.9,1.1,2.0,4.1,6.2,3.0,0.8,0.3,19.5,2021
30,"Richard Washington, Jr.",SJSU,16,32.1,6.7,16.7,0.401,2.6,7.5,0.342,3.6,4.5,0.792,1.9,1.6,1.4,3.8,5.2,2.2,0.4,0.2,19.5,2021
31,Nashon Hyland,VCU,24,31.9,6.3,14.2,0.447,2.9,7.8,0.371,3.9,4.5,0.862,3.1,2.2,0.2,4.5,4.7,2.1,1.9,0.2,19.5,2021
32,Marcus Carr,U of M,29,35.8,6.0,15.6,0.385,2.1,6.5,0.317,5.3,6.7,0.799,2.3,2.3,0.8,3.2,4.0,4.9,1.3,0.1,19.4,2021
33,Jalen Ray,HOF,23,37.2,6.7,15.8,0.42,2.8,7.5,0.37,3.3,3.9,0.843,2.1,2.3,0.6,2.8,3.3,3.3,1.7,0.3,19.3,2021
34,Devante' Jones,CCU,26,32.7,6.4,13.2,0.487,1.9,5.2,0.368,4.6,5.3,0.862,2.3,2.5,1.5,5.6,7.2,2.9,2.8,0.2,19.3,2021
35,Zach Nutall,SHSU,28,29.2,6.9,15.6,0.439,2.5,6.7,0.3720000000000001,3.1,4.5,0.696,3.1,2.0,0.9,4.8,5.7,1.8,1.0,0.3,19.3,2021
36,Danny Pippen,KSU,20,31.9,6.5,16.2,0.403,2.5,8.0,0.308,3.8,4.7,0.8059999999999999,3.7,2.4,2.6,6.0,8.7,2.8,0.8,1.3,19.3,2021
37,Justin Turner,BGSU,25,34.7,6.6,16.0,0.411,1.3,4.3,0.29600000000000004,4.9,5.6,0.878,1.9,1.8,0.7,3.6,4.3,4.3,1.5,0.2,19.3,2021
38,Isaiah Miller,UNCG,29,30.7,8.2,17.7,0.463,0.3,1.7,0.208,2.5,4.0,0.624,3.0,2.3,1.5,5.3,6.8,4.0,2.6,0.3,19.2,2021
39,Cameron Shelton,NAU,22,35.6,6.5,15.6,0.42,1.1,3.3,0.34700000000000003,5.0,6.9,0.7170000000000001,3.3,2.1,1.1,4.8,5.9,4.2,1.5,0.0,19.2,2021
40,Jase Townsend,UD,20,32.6,6.4,14.7,0.4370000000000001,1.9,5.8,0.339,4.4,5.0,0.889,2.5,2.5,0.6,3.6,4.2,2.2,1.1,0.0,19.1,2021
41,Remy Martin,ASU,23,33.5,6.1,14.2,0.433,2.0,5.9,0.34600000000000003,4.8,6.2,0.7759999999999999,2.4,1.6,0.5,2.3,2.8,3.7,1.2,0.0,19.1,2021
42,James Bishop IV,GW,17,36.2,6.5,15.3,0.4270000000000001,1.5,4.4,0.338,4.6,6.2,0.736,3.6,1.5,0.4,2.5,2.9,5.1,0.8,0.2,19.1,2021
43,Trayce Jackson-Davis,IU,27,34.3,6.8,13.1,0.517,0.0,0.0,0.0,5.6,8.5,0.655,2.2,2.1,3.2,5.8,9.0,1.4,0.7,1.4,19.1,2021
44,Troymain Crosby,ASU,15,29.4,6.3,13.7,0.459,0.5,1.8,0.29600000000000004,6.0,7.3,0.826,2.5,3.3,1.4,4.0,5.4,0.7,1.0,0.0,19.1,2021
45,Tyler Thomas,SHU,17,36.5,6.4,16.1,0.394,2.8,8.4,0.331,3.6,4.4,0.813,2.8,1.2,1.6,3.6,5.2,2.9,0.8,0.5,19.1,2021
46,Drew Timme,GU,32,28.1,7.4,11.3,0.655,0.2,0.7,0.28600000000000003,4.0,5.8,0.696,1.8,2.3,2.2,4.8,7.0,2.3,0.7,0.7,19.0,2021
47,Kendric Davis,SMU,17,34.6,6.7,13.9,0.481,1.5,3.9,0.373,4.1,4.9,0.833,2.4,1.6,0.5,3.7,4.2,7.6,1.6,0.1,19.0,2021
48,A.J. Plitzuweit,USD,22,34.2,6.0,13.3,0.455,2.4,5.5,0.433,4.5,5.0,0.892,2.3,2.9,0.6,3.5,4.2,3.9,1.0,0.1,19.0,2021
49,Keaston Willis,UIW,20,33.8,6.2,14.7,0.425,2.0,5.6,0.366,4.4,5.8,0.759,2.6,1.9,0.5,4.0,4.5,2.1,1.2,0.1,18.9,2021
50,Hayden Brown,CIT,24,31.5,6.6,13.0,0.508,1.1,3.8,0.28600000000000003,4.5,6.3,0.7040000000000001,2.5,2.8,2.3,8.2,10.5,2.8,1.1,0.4,18.8,2021
51,Tyson Walker,NU,19,34.9,6.5,14.6,0.444,2.1,5.9,0.354,3.7,4.8,0.772,3.3,2.0,0.5,2.4,2.9,4.8,2.4,0.1,18.8,2021
52,Tre Mitchell,UMass,13,32.2,6.4,12.3,0.519,1.2,3.1,0.375,4.8,6.3,0.768,2.2,2.7,1.4,5.8,7.2,2.2,1.2,1.5,18.8,2021
53,Souley Boum,UTEP,24,35.0,5.4,14.2,0.38,2.5,6.5,0.387,5.4,6.7,0.812,2.2,2.3,0.2,3.4,3.7,2.5,1.4,0.2,18.8,2021
54,Corey Kispert,GU,32,31.8,6.5,12.3,0.529,2.8,6.5,0.44,2.7,3.1,0.878,1.3,1.7,0.9,4.0,5.0,1.8,0.9,0.4,18.6,2021
55,Grant Sherfield,UNR,26,34.7,5.9,13.6,0.433,1.8,4.9,0.3670000000000001,5.0,5.8,0.855,2.8,1.5,0.3,3.5,3.7,6.1,1.6,0.0,18.6,2021
56,Ryan Davis,UVM,13,27.2,7.3,12.5,0.586,1.3,3.2,0.415,2.6,3.2,0.81,1.5,2.5,1.8,4.5,6.3,1.1,0.5,0.6,18.5,2021
57,Oscar da Silva,SU,24,32.2,6.7,11.7,0.569,0.6,1.9,0.311,4.6,5.8,0.7909999999999999,2.5,2.8,1.8,5.0,6.7,2.4,0.9,1.0,18.5,2021
58,Isaiah Ross,IC,18,34.4,6.4,14.1,0.455,2.6,6.7,0.383,3.1,3.8,0.812,2.9,1.7,0.8,3.1,3.9,1.4,1.4,0.1,18.4,2021
59,Greg Parham,VMI,25,33.9,6.7,13.8,0.484,2.6,5.9,0.435,2.5,3.1,0.795,2.2,1.8,0.7,3.2,3.9,4.0,1.1,0.1,18.4,2021
60,Ethan Esposito,CSUS,20,33.5,6.4,13.3,0.481,0.5,2.0,0.22,5.0,6.8,0.743,2.6,2.5,1.8,5.7,7.5,1.9,0.8,0.1,18.3,2021
61,Matthew Hurt,DUKE,24,32.8,6.8,12.3,0.556,2.3,5.2,0.444,2.3,3.2,0.7240000000000001,1.2,3.2,1.5,4.7,6.1,1.4,0.7,0.7,18.3,2021
62,Austin Reaves,OU,25,34.6,5.6,12.6,0.443,1.3,4.2,0.305,5.9,6.8,0.865,3.0,1.7,0.8,4.6,5.5,4.6,0.9,0.3,18.3,2021
63,Jayden Gardner,ECU,19,35.1,6.5,13.5,0.479,0.2,0.3,0.5,5.2,7.0,0.737,2.4,2.2,2.1,6.3,8.3,1.4,0.6,0.2,18.3,2021
64,Ahmed Ali,UP,17,30.6,5.6,12.1,0.463,2.2,5.9,0.366,4.8,5.7,0.845,2.7,2.1,0.9,1.9,2.8,3.1,0.9,0.0,18.2,2021
65,Kevin Obanor,ORU,29,31.0,6.1,12.4,0.496,1.9,4.3,0.448,3.9,4.5,0.877,2.1,2.7,2.1,7.2,9.3,1.0,0.6,0.7,18.1,2021
66,Marreon Jackson,U of T,30,34.1,5.9,14.6,0.403,2.9,8.2,0.348,3.4,3.8,0.904,3.0,2.0,0.6,5.5,6.1,5.9,1.8,0.3,18.1,2021
67,Jahmir Young,CHAR,25,37.6,5.6,13.2,0.423,1.8,5.3,0.338,5.0,6.0,0.8340000000000001,2.4,0.9,0.8,4.2,4.9,2.5,1.0,0.3,18.0,2021
68,Justin Champagnie,PITT,20,34.4,6.7,14.1,0.477,1.1,3.7,0.311,3.5,4.8,0.711,1.5,1.8,3.4,7.7,11.1,1.6,1.2,1.2,18.0,2021
69,Matt Bradley,Cal,22,30.3,5.9,13.0,0.455,1.8,5.0,0.364,4.4,5.3,0.821,2.8,2.7,1.0,3.6,4.6,1.7,0.4,0.2,18.0,2021
70,Eli Scott,LMU,22,35.5,6.4,12.9,0.495,0.4,1.5,0.242,4.9,6.9,0.7040000000000001,3.8,2.5,2.5,5.7,8.2,3.6,0.6,0.5,18.0,2021
71,Jalen Moore,OU,30,37.8,5.3,13.8,0.383,1.7,4.9,0.349,5.7,7.3,0.7759999999999999,3.8,1.7,0.3,3.9,4.1,8.4,1.7,0.1,17.9,2021
72,"Travon Broadway, Jr.",CMU,18,29.9,5.8,12.6,0.465,1.5,4.1,0.37,4.7,6.6,0.72,1.7,1.7,1.7,3.7,5.4,1.8,1.7,0.1,17.9,2021
73,Bryce Hamilton,UNLV,24,32.5,7.3,17.0,0.43,1.5,4.7,0.312,1.8,2.7,0.6559999999999999,2.7,2.5,1.2,4.8,6.0,3.0,1.3,0.1,17.9,2021
74,Mike Nuga,KSU,13,32.6,6.5,13.1,0.5,2.8,7.4,0.385,1.9,2.4,0.8059999999999999,1.4,1.7,0.9,4.6,5.5,1.6,1.5,0.1,17.8,2021
75,Quentin Grimes,U of H,30,32.7,5.8,14.2,0.406,3.3,8.3,0.403,3.0,3.8,0.7879999999999999,1.8,2.2,1.6,4.1,5.7,2.0,1.4,0.3,17.8,2021
76,Riley Grigsby,SEA,21,36.5,6.7,14.9,0.449,2.1,5.4,0.386,2.4,3.1,0.769,1.8,2.6,1.5,3.6,5.1,1.1,0.9,0.6,17.8,2021
77,Buddy Boeheim,SU,25,36.2,6.4,14.9,0.433,3.1,8.0,0.383,1.8,2.1,0.8490000000000001,1.6,1.6,0.6,2.1,2.6,2.6,1.3,0.0,17.8,2021
78,Storm Murphy,WC,24,34.3,6.0,12.7,0.47,2.9,7.3,0.4,2.9,3.5,0.843,2.7,1.2,0.6,2.7,3.2,4.3,1.0,0.0,17.8,2021
79,Jaylen Sims,UNCW,12,33.9,5.2,12.0,0.438,1.8,4.6,0.382,5.5,7.1,0.7759999999999999,2.6,2.0,0.8,4.6,5.3,1.8,0.8,0.1,17.8,2021
80,Isaac Bonton,WSU,21,35.1,6.1,15.6,0.391,1.9,5.7,0.328,3.7,5.6,0.6579999999999999,3.5,2.0,0.3,3.6,4.0,4.0,2.0,0.2,17.7,2021
81,Isiah Brown,WSU,23,31.3,6.0,12.3,0.491,1.7,5.0,0.339,3.9,4.7,0.833,1.8,2.5,0.3,3.3,3.5,3.0,1.3,0.1,17.7,2021
82,Kofi Cockburn,U of I,31,27.0,6.9,10.5,0.654,0.0,0.0,0.0,3.9,7.0,0.5529999999999999,1.7,2.5,3.4,6.1,9.5,0.2,0.3,1.3,17.7,2021
83,Elijah Ford,WC,18,33.3,7.1,12.1,0.5870000000000001,0.1,0.4,0.25,3.3,4.4,0.75,2.3,2.8,2.8,4.9,7.7,1.6,2.0,0.7,17.7,2021
84,Charles Bassey,WKU,28,30.3,6.9,11.8,0.59,0.6,2.1,0.305,3.1,4.1,0.759,2.2,2.4,3.3,8.3,11.6,0.7,0.4,3.1,17.6,2021
85,Kaiden Rice,CIT,25,33.8,6.0,14.6,0.414,3.7,10.6,0.348,1.9,2.1,0.887,1.4,1.5,0.7,3.5,4.2,1.1,0.4,0.0,17.6,2021
86,Jalen Crutcher,DAY,24,38.0,6.0,13.0,0.463,2.0,5.4,0.3720000000000001,3.6,4.8,0.763,3.0,2.1,0.3,3.2,3.5,4.8,0.8,0.0,17.6,2021
87,"Jeenathan Williams, Jr.",UB,25,30.9,7.1,14.6,0.486,1.4,3.5,0.386,2.0,2.9,0.708,2.5,1.7,1.7,5.0,6.8,2.4,1.1,0.4,17.6,2021
88,Colbey Ross,PU,27,37.6,5.5,12.7,0.436,1.6,4.7,0.341,4.9,5.8,0.846,3.8,2.7,0.6,3.6,4.1,7.7,1.1,0.3,17.5,2021
89,Sandro Mamukelashvili,SHU,27,35.5,6.2,14.3,0.434,1.6,4.6,0.336,3.5,4.9,0.7140000000000001,3.3,1.7,1.9,5.7,7.6,3.2,1.1,0.6,17.5,2021
90,Dontarius James,JAC,22,30.0,5.8,12.9,0.451,2.5,6.9,0.364,3.3,4.1,0.802,3.2,2.5,0.9,3.5,4.3,1.1,1.0,0.8,17.5,2021
91,Moses Wright,GT,25,35.4,7.0,13.2,0.53,0.5,1.2,0.414,2.9,4.4,0.6579999999999999,1.6,2.6,3.2,4.9,8.0,2.3,1.5,1.6,17.4,2021
92,Taylor Funk,SJU,20,32.3,6.0,12.3,0.482,2.6,7.3,0.354,2.9,3.4,0.838,1.4,2.8,1.8,3.9,5.7,1.5,0.8,0.8,17.4,2021
93,Jamaree Bouyea,USF,25,33.7,6.9,13.8,0.5,1.6,4.3,0.37,1.8,2.4,0.754,2.4,2.0,0.8,2.9,3.7,3.7,1.5,0.2,17.3,2021
94,Tyrn Flowers,LIU,18,33.2,6.7,14.5,0.464,1.5,5.1,0.293,2.3,3.5,0.667,2.3,1.9,2.4,5.7,8.1,3.6,1.9,1.2,17.3,2021
95,Jamison Battle,GW,15,36.5,6.3,13.2,0.475,2.3,6.4,0.354,2.5,3.1,0.787,2.2,1.7,0.4,4.8,5.2,0.7,0.9,0.3,17.3,2021
96,Jr. Clay,TTU,24,34.3,6.0,13.8,0.434,2.4,7.0,0.34700000000000003,2.8,3.9,0.723,2.8,1.6,0.5,2.3,2.9,3.7,1.8,0.2,17.2,2021
97,Rayshon Harrison,PC,20,34.6,5.8,14.8,0.391,2.0,5.8,0.35,3.6,4.5,0.8,2.6,1.8,1.4,4.2,5.6,2.5,1.4,0.3,17.2,2021
98,Timmy Allen,U of U,25,35.1,6.2,13.3,0.465,0.4,1.6,0.268,4.4,5.7,0.769,3.1,1.8,1.2,5.3,6.4,3.9,1.3,0.2,17.2,2021
99,Amari Davis,UWGB,25,35.5,6.4,15.1,0.422,0.9,3.3,0.28,3.6,4.5,0.804,1.5,2.4,0.6,3.0,3.7,1.9,1.4,0.3,17.2,2021
100,Kessler Edwards,PU,27,34.0,6.1,12.4,0.491,1.7,4.4,0.378,3.4,3.9,0.8759999999999999,1.8,2.1,1.2,5.6,6.8,1.2,1.0,1.2,17.2,2021
101,Brandon McKissic,UMKC,18,34.0,6.7,13.1,0.508,1.7,3.9,0.429,2.2,3.3,0.667,3.0,2.8,0.6,3.1,3.7,3.3,1.5,0.1,17.2,2021
102,De'Torrion Ware,MSU,22,24.9,5.5,12.8,0.4270000000000001,2.5,6.3,0.388,3.8,4.6,0.8320000000000001,1.9,2.0,2.0,3.7,5.7,1.3,1.4,0.1,17.2,2021
103,Tyreke Key,ISU,23,33.9,5.8,12.3,0.472,1.3,4.3,0.316,4.3,5.1,0.838,1.8,1.5,1.0,4.4,5.3,2.0,1.1,0.3,17.2,2021
104,Tanner Groves,EWU,24,27.1,6.4,11.4,0.56,0.9,2.6,0.349,3.5,4.5,0.778,1.9,3.4,1.3,6.6,8.0,1.3,0.2,1.1,17.2,2021
105,Cedric Russell,LA,26,33.5,5.8,14.0,0.419,2.9,7.3,0.4,2.5,3.3,0.767,2.5,1.8,0.4,2.8,3.2,1.2,0.5,0.0,17.2,2021
106,Eugene Omoruyi,UO,28,30.5,6.2,13.1,0.473,1.5,3.9,0.376,3.2,4.2,0.765,2.3,3.0,2.2,3.2,5.4,2.2,1.5,0.6,17.1,2021
107,JaVonte Perkins,SLU,21,30.5,6.3,13.5,0.465,1.8,4.8,0.376,2.8,3.2,0.866,1.4,2.4,0.7,3.1,3.9,1.8,0.7,0.5,17.1,2021
108,Cam Davis,USNA,15,32.5,6.0,13.6,0.441,1.3,3.7,0.35700000000000004,3.8,4.9,0.7809999999999999,1.5,1.4,0.5,2.3,2.8,2.7,1.5,0.3,17.1,2021
109,Chris Duarte,UO,26,34.0,6.2,11.6,0.532,2.3,5.5,0.424,2.5,3.0,0.81,2.3,1.4,0.7,3.9,4.6,2.7,1.9,0.8,17.1,2021
110,Isaiah Wong,UM,27,35.4,5.7,13.3,0.431,1.9,5.3,0.34700000000000003,3.8,4.7,0.8029999999999999,1.8,1.6,0.8,4.0,4.8,2.4,1.1,0.5,17.1,2021
111,Mark Freeman,TSU,21,35.1,5.6,14.0,0.397,1.5,5.2,0.284,4.5,5.5,0.8170000000000001,3.7,2.5,0.4,3.7,4.1,4.6,2.0,0.0,17.1,2021
112,Kellan Grady,DAV,22,34.2,6.2,13.1,0.471,2.6,6.9,0.382,2.1,3.1,0.6759999999999999,1.6,1.1,0.4,4.2,4.6,2.4,0.8,0.2,17.1,2021
113,"Antonio Daye, Jr.",FIU,22,31.6,6.0,13.2,0.455,1.1,3.8,0.289,4.0,5.7,0.698,4.5,2.1,0.7,3.5,4.3,4.7,2.4,0.1,17.1,2021
114,Zach Cooks,NJIT,19,37.7,6.1,14.8,0.411,1.6,4.8,0.337,3.2,4.5,0.718,2.2,1.3,0.7,4.2,4.9,1.5,2.2,0.1,17.1,2021
115,"Derrick Alston, Jr.",BSU,28,32.6,5.6,12.6,0.444,2.4,6.4,0.382,3.4,4.0,0.856,2.4,1.7,0.6,3.1,3.7,2.2,0.8,0.2,17.0,2021
116,Mason Faulkner,WCU,22,34.2,5.5,12.0,0.455,1.5,4.2,0.355,4.5,5.9,0.762,3.5,2.9,1.0,4.5,5.5,4.8,1.2,0.0,16.9,2021
117,Nate Watson,PROV,26,32.3,6.9,11.5,0.602,0.0,0.0,0.0,3.0,4.8,0.627,1.3,2.4,2.6,4.1,6.7,0.7,0.3,1.0,16.9,2021
118,Tevian Jones,SUU,24,28.1,5.7,13.4,0.424,2.5,7.2,0.349,3.0,3.5,0.8590000000000001,2.5,2.1,0.6,3.9,4.5,1.2,0.7,0.0,16.9,2021
119,Rylan Bergersen,UCA,23,34.5,5.5,12.7,0.436,1.7,4.9,0.339,4.2,6.1,0.6859999999999999,2.8,2.2,0.7,3.3,4.0,4.8,1.3,0.4,16.9,2021
120,David Duke,PROV,26,37.1,5.5,14.3,0.387,2.0,5.0,0.389,3.8,4.8,0.792,3.2,3.0,1.0,5.3,6.3,4.8,1.2,0.3,16.8,2021
121,Moses Moody,U of A,32,33.7,5.2,12.1,0.4270000000000001,1.8,5.1,0.358,4.7,5.8,0.812,1.6,2.3,2.0,3.8,5.8,1.6,1.0,0.7,16.8,2021
122,Filip Rebraca,UND,26,31.8,6.7,13.2,0.506,0.6,1.6,0.366,2.8,4.7,0.607,2.3,2.7,1.8,5.7,7.6,1.2,0.6,0.7,16.8,2021
123,Deion Hammond,MU,20,30.1,5.3,14.4,0.3720000000000001,2.0,5.6,0.35700000000000004,4.1,5.5,0.745,2.0,2.0,0.8,3.0,3.8,1.8,1.2,0.6,16.8,2021
124,Jahlil Jenkins,FDU,24,37.1,5.7,14.2,0.401,2.0,5.4,0.38,3.3,3.9,0.86,2.9,1.3,0.3,2.2,2.5,3.2,1.5,0.0,16.8,2021
125,Carlik Jones,U of L,19,37.6,5.9,14.8,0.402,0.9,2.9,0.321,3.9,4.8,0.815,2.1,1.8,0.7,4.2,4.9,4.5,1.4,0.1,16.8,2021
126,Deandre Gholston,UWM,22,33.0,5.8,13.1,0.439,2.1,5.6,0.374,3.1,3.9,0.802,2.0,1.6,0.5,4.6,5.2,1.4,1.1,0.3,16.8,2021
127,Keaton Wallace,UTSA,26,33.5,6.0,14.4,0.42,2.3,7.1,0.319,2.4,3.1,0.787,2.2,2.1,0.6,4.9,5.5,3.4,1.0,0.3,16.8,2021
128,Malachi Smith,UTC,25,35.9,6.0,13.1,0.46,1.4,3.8,0.383,3.2,4.0,0.802,3.0,1.8,1.6,7.2,8.8,3.3,1.5,0.2,16.8,2021
129,Shahada Wells,UTA,25,30.1,6.2,14.8,0.416,2.1,5.4,0.393,2.3,3.0,0.784,2.2,1.5,0.8,2.6,3.4,3.7,2.2,0.2,16.8,2021
130,Alex Morales,WC,20,35.5,6.2,14.1,0.44,1.0,3.1,0.317,3.4,4.7,0.713,3.2,2.9,2.6,4.5,7.2,4.2,1.8,0.5,16.8,2021
131,Jordan Burns,CU,16,29.4,5.5,13.7,0.402,1.9,4.4,0.429,3.9,4.3,0.899,2.9,2.0,0.7,3.6,4.3,5.2,1.6,0.1,16.8,2021
132,Doug Wilson,SDSU,19,28.7,6.3,12.4,0.506,0.0,0.0,0.0,4.2,6.9,0.611,2.7,2.9,2.8,2.6,5.4,2.3,1.2,0.6,16.7,2021
133,Jared Butler,BU,30,30.4,5.9,12.5,0.471,2.6,6.2,0.416,2.4,3.0,0.78,2.8,2.4,0.4,2.9,3.3,4.8,2.0,0.4,16.7,2021
134,Trevon Faulkner,NKU,25,33.7,5.6,13.8,0.41,1.2,4.4,0.275,4.2,5.3,0.795,2.6,2.4,2.3,3.4,5.7,2.5,1.5,0.0,16.7,2021
135,Gaige Prim,MSU,24,29.2,6.7,11.1,0.599,0.0,0.1,0.0,3.3,4.5,0.7340000000000001,2.5,2.7,3.2,5.9,9.1,3.0,1.2,1.3,16.7,2021
136,Iverson Molinar,MSU,30,32.5,6.1,12.8,0.478,1.5,3.4,0.436,3.0,3.7,0.804,2.2,1.8,0.3,3.4,3.7,2.3,0.9,0.1,16.7,2021
137,Peter Kiss,BU,22,33.0,5.8,11.5,0.504,1.6,3.9,0.424,3.4,4.0,0.851,2.7,2.5,1.5,5.0,6.5,3.2,1.9,0.3,16.6,2021
138,Loudon Love,WRST,24,28.0,6.8,12.0,0.564,0.0,0.0,0.0,3.1,4.7,0.67,2.8,2.0,3.4,6.7,10.1,1.9,0.9,1.3,16.6,2021
139,A.J. Lawson,USC,21,31.4,5.6,14.1,0.394,2.8,8.0,0.35100000000000003,2.7,3.8,0.7,1.5,1.8,1.0,3.1,4.1,1.2,1.5,0.1,16.6,2021
140,C.J. Keyser,NCCU,14,31.0,6.3,13.7,0.458,1.3,3.9,0.333,2.7,3.9,0.691,2.4,2.6,0.6,3.0,3.6,1.5,1.0,0.4,16.6,2021
141,Jalen Johnson,AAMU,15,29.9,6.9,12.3,0.562,0.0,0.0,0.0,2.7,4.2,0.635,2.3,2.9,3.3,4.2,7.5,0.8,1.1,0.6,16.5,2021
142,Zane Martin,TU,15,32.5,6.2,15.8,0.392,1.1,5.1,0.221,3.0,4.1,0.738,2.5,2.1,0.7,3.1,3.8,3.5,0.8,0.1,16.5,2021
