#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
1905,Myles Hunter,YSU,24,18.8,2.2,5.8,0.384,0.8,2.5,0.328,0.7,0.9,0.81,0.5,1.1,0.4,1.5,1.9,0.3,0.4,0.2,6.0,2021
1906,Trae Hannibal,USC,20,16.7,1.9,4.5,0.438,0.3,0.7,0.5379999999999999,1.7,2.0,0.85,2.1,1.8,1.0,2.2,3.2,2.0,1.0,0.1,6.0,2021
1907,"John Square, Jr.",FDU,19,18.2,2.0,3.6,0.551,0.0,0.0,0.0,1.9,2.6,0.755,0.9,3.4,2.1,1.7,3.7,0.6,0.5,0.3,5.9,2021
1908,Diego Willis,NJIT,19,21.6,1.7,5.3,0.33,0.8,3.4,0.25,1.6,2.1,0.795,0.5,1.1,0.9,2.4,3.3,0.9,0.6,0.0,5.9,2021
1909,David Muenkat,SFC,19,15.7,2.5,5.1,0.485,0.1,0.2,0.333,0.9,1.6,0.6,1.2,3.3,1.6,2.6,4.2,0.6,0.9,0.5,5.9,2021
1910,Andre Mulibea,DSC,18,17.3,2.2,5.9,0.374,1.2,3.4,0.344,0.3,0.7,0.462,1.5,1.4,0.6,1.6,2.2,0.9,0.2,0.1,5.9,2021
1911,Abdul Ado,MSU,33,27.7,2.3,4.2,0.5539999999999999,0.0,0.0,0.0,1.3,1.9,0.667,1.5,2.3,2.6,4.2,6.8,0.7,0.6,2.0,5.9,2021
1912,Ryan Wade,HC,16,26.8,2.0,5.6,0.35600000000000004,1.3,4.1,0.32299999999999995,0.6,0.9,0.667,0.9,1.9,0.6,1.9,2.4,1.4,0.7,0.1,5.9,2021
1913,James Moors,CSU,28,19.1,2.5,5.0,0.504,0.1,0.7,0.1,0.9,1.6,0.545,1.5,1.8,1.0,2.5,3.5,1.1,0.5,0.7,5.9,2021
1914,Tariq Simmons,SCSU,14,17.6,2.0,6.1,0.329,0.6,2.4,0.242,1.4,1.7,0.792,2.3,1.3,0.4,1.3,1.6,1.2,0.6,0.0,5.9,2021
1915,Max Rice,BSU,26,17.6,2.2,4.9,0.457,1.0,2.8,0.361,0.5,0.5,0.857,0.6,1.3,0.5,2.0,2.5,1.0,0.5,0.0,5.9,2021
1916,Stephen Clark,CIT,25,23.4,2.5,4.0,0.62,0.1,0.5,0.16699999999999998,0.9,1.6,0.537,1.6,2.0,1.2,3.4,4.6,2.1,0.8,1.8,5.9,2021
1917,Keaton Van Soelen,AF,25,27.7,2.0,4.1,0.476,0.6,1.8,0.311,1.4,2.0,0.706,1.7,1.8,0.4,2.4,2.8,1.7,1.1,0.8,5.9,2021
1918,Malik Osborne,FSU,24,20.2,1.9,4.5,0.422,0.8,2.2,0.365,1.3,1.5,0.838,0.8,2.1,1.4,3.1,4.5,0.3,0.6,0.3,5.9,2021
1919,Kelton Edwards,GSU,24,17.2,2.2,5.2,0.413,0.1,0.8,0.15,1.5,2.0,0.7140000000000001,1.2,0.8,0.5,1.1,1.6,0.6,0.6,0.1,5.9,2021
1920,Jared Kimbrough,LU,22,18.4,2.6,4.1,0.633,0.0,0.1,0.333,0.7,1.1,0.625,1.2,2.1,1.2,2.4,3.6,0.5,0.2,0.7,5.9,2021
1921,Le'tre Darthard,UVU,22,21.4,2.1,4.2,0.511,1.1,2.3,0.471,0.5,0.9,0.632,0.7,2.0,0.8,1.2,2.0,1.2,0.3,0.2,5.9,2021
1922,DeAndre Robinson,U of I,22,21.2,2.3,5.4,0.42,1.0,2.6,0.368,0.4,0.5,0.9,1.1,1.1,0.3,2.7,3.0,0.8,0.2,0.1,5.9,2021
1923,Zimife Nwokeji,DAY,22,19.8,2.0,4.3,0.453,0.5,1.7,0.316,1.5,2.0,0.7440000000000001,1.0,1.7,0.6,1.8,2.4,0.6,0.2,0.1,5.9,2021
1924,Nigel Jackson,WC,20,25.6,2.1,5.8,0.359,1.4,3.9,0.35100000000000003,0.3,0.4,0.875,0.8,3.1,0.8,2.1,3.0,0.8,0.6,0.5,5.9,2021
1925,Paul Mulcahy,RU,28,27.2,2.1,4.3,0.479,0.8,2.0,0.393,1.0,1.4,0.675,1.6,2.2,0.9,2.4,3.3,2.9,0.6,0.4,5.9,2021
