Pk,Tm,Player1,College
21,OKC,Craig Brackins,Iowa State
22,POR,Elliot Williams,Memphis
23,MIN,Trevor Booker,Clemson
24,ATL,Damion James,Texas
25,MEM,Dominique Jones,South Florida
26,OKC,Quincy Pondexter,Washington
27,NJN,Jordan Crawford,Xavier
28,MEM,Greivis Vásquez,Maryland
29,ORL,Daniel Orton,Kentucky
30,WAS,Lazar Hayward,Marquette
32,MIA,Dexter Pittman,Texas
33,SAC,Hassan Whiteside,Marshall
34,POR,Armon Johnson,Nevada
36,DET,Terrico White,Ole Miss
37,MIL,Darington Hobson,New Mexico
38,NYK,Andy Rautins,Syracuse
39,NYK,Landry Fields,Stanford
40,IND,Lance Stephenson,Cincinnati
41,MIA,Jarvis Varnado,Mississippi State
42,MIA,Da'Sean Butler,West Virginia
43,LAL,Devin Ebanks,West Virginia
44,MIL,Jerome Jordan,Tulsa
46,PHO,Gani Lawal,Georgia Tech
47,MIL,Tiny Gallon,Oklahoma
50,DAL,Solomon Alabi,Florida State
51,OKC,Magnum Rolle,Louisiana Tech
52,BOS,Luke Harangody,Notre Dame
54,LAC,Willie Warren,Oklahoma
55,UTA,Jeremy Evans,Western Kentucky
56,MIN,Hamady N'Diaye,Rutgers University
57,IND,Ryan Reid,Florida State
58,LAL,Derrick Caracter,Texas-El Paso
59,ORL,Stanley Robinson,UConn
60,PHO,Dwayne Collins,Miami (FL)
1,CLE,Kyrie Irving,Duke
2,MIN,Derrick Williams,Arizona
4,CLE,Tristan Thompson,Texas
8,DET,Brandon Knight,Kentucky
9,CHA,Kemba Walker,UConn
10,MIL,Jimmer Fredette,BYU
11,GSW,Klay Thompson,Washington State
12,UTA,Alec Burks,Colorado
13,PHO,Markieff Morris,Kansas
14,HOU,Marcus Morris,Kansas
15,IND,Kawhi Leonard,San Diego State
16,PHI,Nikola Vučević,USC
17,NYK,Iman Shumpert,Georgia Tech
18,WAS,Chris Singleton,Florida State
19,CHA,Tobias Harris,Tennessee
21,POR,Nolan Smith,Duke
22,DEN,Kenneth Faried,Morehead State University
24,OKC,Reggie Jackson,Boston College
25,BOS,MarShon Brooks,Providence
26,DAL,Jordan Hamilton,Texas
27,NJN,JaJuan Johnson,Purdue
28,CHI,Norris Cole,Cleveland State University
29,SAS,Cory Joseph,Texas
30,CHI,Jimmy Butler,Marquette
32,CLE,Justin Harper,Richmond
33,DET,Kyle Singler,Duke
34,WAS,Shelvin Mack,Butler
35,SAC,Tyler Honeycutt,UCLA
36,NJN,Jordan Williams,Maryland
37,LAC,Trey Thompkins,Georgia
38,HOU,Chandler Parsons,Florida
40,MIL,Jon Leuer,Wisconsin
41,LAL,Darius Morris,Michigan
43,CHI,Malcolm Lee,UCLA
44,GSW,Charles Jenkins,Hofstra
45,NOH,Josh Harrellson,Kentucky
46,LAL,Andrew Goudelock,College of Charleston
47,LAC,Travis Leslie,Georgia
48,ATL,Keith Benson,Oakland
49,MEM,Josh Selby,Kansas
50,PHI,Lavoy Allen,Temple
51,POR,Jon Diebler,Ohio State
52,DET,Vernon Macklin,Florida
53,ORL,DeAndre Liggins,Kentucky
55,BOS,E'Twaun Moore,Purdue
60,SAC,Isaiah Thomas,Washington
1,NOH,Anthony Davis,Kentucky
2,CHA,Michael Kidd-Gilchrist,Kentucky
3,WAS,Bradley Beal,Florida
4,CLE,Dion Waiters,Syracuse
5,SAC,Thomas Robinson,Kansas
6,POR,Damian Lillard,Weber State
7,GSW,Harrison Barnes,UNC
8,TOR,Terrence Ross,Washington
9,DET,Andre Drummond,UConn
10,NOH,Austin Rivers,Duke
11,POR,Meyers Leonard,Illinois
12,HOU,Jeremy Lamb,UConn
13,PHO,Kendall Marshall,UNC
14,MIL,John Henson,UNC
15,PHI,Maurice Harkless,St. John's
16,HOU,Royce White,Iowa State
17,DAL,Tyler Zeller,UNC
18,HOU,Terrence Jones,Kentucky
19,ORL,Andrew Nicholson,St. Bonaventure
21,BOS,Jared Sullinger,Ohio State
22,BOS,Fab Melo,Syracuse
23,ATL,John Jenkins,Vanderbilt
24,CLE,Jared Cunningham,Oregon State
25,MEM,Tony Wroten,Washington
26,IND,Miles Plumlee,Duke
27,MIA,Arnett Moultrie,Mississippi State
28,OKC,Perry Jones,Baylor
29,CHI,Marquis Teague,Kentucky
30,GSW,Festus Ezeli,Vanderbilt
31,CHA,Jeff Taylor,Vanderbilt
33,CLE,Bernard James,Florida State
34,CLE,Jae Crowder,Marquette
35,GSW,Draymond Green,Michigan State
36,SAC,Orlando Johnson,UC Santa Barbara
37,TOR,Quincy Acy,Baylor
38,DEN,Quincy Miller,Baylor
39,DET,Khris Middleton,Texas A&M
40,POR,Will Barton,Memphis
41,POR,Tyshawn Taylor,Kansas
42,MIL,Doron Lamb,Kentucky
43,ATL,Mike Scott,Virginia
44,DET,Kim English,Missouri
45,PHI,Justin Hamilton,LSU
46,NOH,Darius Miller,Kentucky
47,UTA,Kevin Murphy,Tennessee Technological University
49,ORL,Kyle O'Quinn,Norfolk State
51,BOS,Kris Joseph,Syracuse
55,DAL,Darius Johnson-Odom,Marquette
58,MIN,Robbie Hummel,Purdue
59,SAS,Marcus Denmon,Missouri
60,LAL,Robert Sacre,Gonzaga
1,CLE,Anthony Bennett,UNLV
2,ORL,Victor Oladipo,Indiana
3,WAS,Otto Porter,Georgetown
4,CHA,Cody Zeller,Indiana
5,PHO,Alex Len,Maryland
6,NOH,Nerlens Noel,Kentucky
7,SAC,Ben McLemore,Kansas
8,DET,Kentavious Caldwell-Pope,Georgia
9,MIN,Trey Burke,Michigan
10,POR,CJ McCollum,Lehigh
11,PHI,Michael Carter-Williams,Syracuse
12,OKC,Steven Adams,Pitt
13,DAL,Kelly Olynyk,Gonzaga
14,UTA,Shabazz Muhammad,UCLA
18,ATL,Shane Larkin,Miami (FL)
20,CHI,Tony Snell,New Mexico
21,UTA,Gorgui Dieng,Louisville
22,BRK,Mason Plumlee,Duke
23,IND,Solomon Hill,Arizona
24,NYK,Tim Hardaway Jr.,Michigan
25,LAC,Reggie Bullock,UNC
26,MIN,Andre Roberson,Colorado
29,OKC,Archie Goodwin,Kentucky
31,CLE,Allen Crabbe,California
33,CLE,Carrick Felix,Arizona State
34,HOU,Isaiah Canaan,Murray State
35,PHI,Glen Rice Jr.,Georgia Tech
36,SAC,Ray McCallum,Detroit Mercy
37,DET,Tony Mitchell,University of North Texas
38,WAS,Nate Wolters,South Dakota State
39,POR,Jeff Withey,Kansas
40,POR,Grant Jerrett,Arizona
41,MEM,Jamaal Franklin,San Diego State
42,PHI,Pierre Jackson,Baylor
43,MIL,Ricky Ledo,Providence
44,DAL,Mike Muscala,Bucknell
46,UTA,Erick Green,Virginia Tech
48,LAL,Ryan Kelly,Duke
49,CHI,Erik Murphy,Florida
50,ATL,James Ennis,Cal State Long Beach
51,ORL,Romero Osby,Oklahoma
52,MIN,Lorenzo Brown,NC State
53,IND,Colton Iverson,Colorado State
54,WAS,Arsalan Kazemi,Oregon
56,DET,Peyton Siva,Louisville
57,PHO,Alex Oriakhi,Missouri
58,SAS,Deshaun Thomas,Ohio State
1,CLE,Andrew Wiggins,Kansas
2,MIL,Jabari Parker,Duke
3,PHI,Joel Embiid,Kansas
4,ORL,Aaron Gordon,Arizona
6,BOS,Marcus Smart,Oklahoma State
7,LAL,Julius Randle,Kentucky
8,SAC,Nik Stauskas,Michigan
9,CHH,Noah Vonleh,Indiana
10,PHI,Elfrid Payton,Louisiana
11,DEN,Doug McDermott,Creighton
13,MIN,Zach LaVine,UCLA
14,PHO,T.J. Warren,NC State
15,ATL,Adreian Payne,Michigan State
17,BOS,James Young,Kentucky
18,PHO,Tyler Ennis,Syracuse
19,CHI,Gary Harris,Michigan State
21,OKC,Mitch McGary,Michigan
22,MEM,Jordan Adams,UCLA
23,UTA,Rodney Hood,Duke
24,CHH,Shabazz Napier,UConn
26,MIA,P.J. Hairston,UNC
28,LAC,C.J. Wilcox,Washington
29,OKC,Josh Huestis,Stanford
30,SAS,Kyle Anderson,UCLA
32,PHI,K.J. McDaniels,Clemson
33,CLE,Joe Harris,Virginia
34,NYK,Cleanthony Early,Wichita State
35,UTA,Jarnell Stokes,Tennessee
36,MIL,Johnny O'Bryant,LSU
37,TOR,DeAndre Daniels,UConn
38,DET,Spencer Dinwiddie,Colorado
39,PHI,Jerami Grant,Syracuse
40,MIN,Glenn Robinson III,Michigan
42,HOU,Nick Johnson,Arizona
44,MIN,Markel Brown,Oklahoma State
45,CHH,Dwight Powell,Stanford
46,WAS,Jordan Clarkson,Missouri
47,PHI,Russ Smith,Louisville
48,MIL,Lamar Patterson,Pitt
49,CHI,Cameron Bairstow,New Mexico
50,PHO,Alec Brown,Green Bay
55,MIA,Semaj Christon,Xavier
56,DEN,Devyn Marble,Iowa
58,SAS,Jordan McRae,Tennessee
59,TOR,Xavier Thames,San Diego State
60,SAS,Cory Jefferson,Baylor
1,MIN,Karl-Anthony Towns,Kentucky
2,LAL,D'Angelo Russell,Ohio State
3,PHI,Jahlil Okafor,Duke
6,SAC,Willie Cauley-Stein,Kentucky
8,DET,Stanley Johnson,Arizona
9,CHO,Frank Kaminsky,Wisconsin
10,MIA,Justise Winslow,Duke
11,IND,Myles Turner,Texas
12,UTA,Trey Lyles,Kentucky
13,PHO,Devin Booker,Kentucky
