Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Frank Howard,SU,37,38.4,5.1,13.4,0.376,1.8,5.5,0.327,2.5,3.5,0.719,3.4,2.6,0.5,3,3.5,4.7,1.8,0.3,14.4
Victor Joseph,POLY,31,29.5,4.7,11.7,0.405,2.1,5.7,0.362,2.8,3.2,0.88,1.9,2.1,0.6,2,2.5,1.9,0.8,0.2,14.4
Shai Gilgeous-Alexander,UK,37,33.7,4.9,10.2,0.485,0.6,1.5,0.404,3.9,4.7,0.817,2.7,1.7,0.9,3.2,4.1,5.1,1.6,0.5,14.4
Mike Lewis,DUQ,32,31.1,4.3,11.2,0.384,2.8,7.6,0.368,3,3.6,0.826,1.3,2.1,0.5,1.8,2.3,0.7,1.1,0,14.4
Grant Benzinger,WRST,35,34.8,4.5,11.6,0.388,2.7,7.1,0.372,2.7,3.1,0.888,1.1,2.3,1.4,4,5.4,1.2,0.7,0.2,14.3
Romone Saunders,WC,25,31.6,5.2,12.4,0.421,1.9,5.6,0.343,2,2.8,0.704,2.1,2.5,1.8,4.5,6.4,2,1.2,0.3,14.3
"Eric Williams, ",DUQ,32,33.7,4.6,11.7,0.392,2.1,5.8,0.364,3,4.1,0.74,2.1,2.3,2.1,6.6,8.8,1.6,1.3,0.3,14.3
Chris Silva,USC,33,25.8,3.8,8.2,0.467,0.2,0.4,0.417,6.5,8.6,0.753,2.6,3.5,3.3,4.7,8,1.2,0.6,1.4,14.3
Curtis Phillips,TTU,33,30.6,4.6,11.7,0.393,1.8,5.4,0.341,3.2,4.5,0.718,3,2.1,1,4.2,5.2,2.2,1.8,0.6,14.3
Eric Lockett,FIU,32,37,5.7,12.1,0.466,0.4,1.5,0.292,2.5,3.5,0.717,2.1,2.4,1.3,5.2,6.5,3.1,1.2,0.4,14.3
JoJo Cooper,WC,33,36.4,4.8,11.4,0.42,1.2,3.1,0.379,3.5,4.8,0.739,3.3,2.2,1.2,4.1,5.2,6.1,1.5,0,14.3
Ryan Betley,PENN,33,33.5,4.5,10.8,0.423,2.5,6.5,0.391,2.6,3.4,0.77,1.5,2,0.6,4.4,5,1.2,0.8,0.4,14.3
Rodney Bullock,PROV,34,32.9,4.8,11.1,0.435,1.4,4.1,0.333,3.2,4.4,0.738,1.9,2.5,1.5,4.4,5.8,1.1,0.8,1,14.3
Nick Sherod,RICH,32,31.5,5.2,10.7,0.481,1.9,4.9,0.391,2,2.5,0.802,1.1,1.8,1,4,5,1.4,1,0.1,14.2
Malcolm Duvivier,AKR,32,32.5,5,12.8,0.389,2.7,7.3,0.373,1.6,2.5,0.646,3,2.9,0.3,2.2,2.5,3.1,0.8,0.2,14.2
Don Coleman,Cal,30,31.4,4.2,12.9,0.328,0.9,3.6,0.243,4.9,6.6,0.746,2,2.3,1.1,1.9,2.9,1.9,1.4,0,14.2
B.J. Stith,ODU,32,31.4,4.9,11.2,0.437,1.8,4.3,0.403,2.7,3.2,0.842,1.6,1.8,0.8,4.9,5.7,1.7,0.8,0.2,14.2
Gabe DeVoe,CLEM,35,34.3,4.9,10.8,0.449,2.5,6.2,0.396,2,2.6,0.78,2,2.1,0.9,3.9,4.7,2.1,1.1,0.4,14.2
Fred Sims,CSU,30,30.7,4.9,15.1,0.322,2,6.4,0.319,2.4,2.8,0.869,1.5,1.4,0.8,2.9,3.7,1.1,0.8,0.1,14.2
David Cohn,W&M,31,35.9,4.6,8.8,0.529,1.6,3.7,0.426,3.3,3.6,0.912,2.7,1.9,0.3,2.7,3,6.7,1.6,0,14.2
Andre Wolford,SFU,31,29,4.5,9,0.504,3.1,6.3,0.495,2,2.3,0.847,0.8,1.8,0.5,2.5,3,0.8,0.5,0.1,14.2
McKinley Wright,CU,32,32.6,5.2,11.5,0.451,0.9,2.9,0.304,2.9,3.8,0.77,2.9,1.5,1.6,3,4.7,5.5,1,0.4,14.2
Malik Newman,KU,39,31.6,4.8,10.3,0.463,2.2,5.3,0.415,2.5,2.9,0.835,1.5,1.6,0.5,4.5,5,2.1,1.1,0.2,14.2
Ahmad Caver,ODU,32,37.2,4.8,11.9,0.408,2,5.8,0.349,2.4,3.7,0.667,2,1.6,0.6,2.9,3.5,6.2,2.3,0.2,14.2
Devin Sibley,FU,32,26.6,5.4,11.7,0.461,1.6,4.8,0.336,1.8,3.3,0.547,2.7,2,0.4,4.5,4.9,2,0.8,0.3,14.2
Dikembe Dixson,UIC,32,29.7,4.7,12,0.389,1.1,3.5,0.315,3.8,5.1,0.732,2.8,1.8,0.7,2.8,3.5,0.8,1.2,0.2,14.2
Kyle Guy,UVA,34,32.4,5.2,12.6,0.415,2.4,6.2,0.392,1.2,1.5,0.824,1.2,1.2,0.4,2.2,2.6,1.5,1,0,14.1
Armon Fletcher,SIU,32,31.6,4.8,9.8,0.486,1.2,3.6,0.348,3.3,4.5,0.731,1.3,2.3,1.4,3.6,5,1.7,1.2,0.5,14.1
Jeremiah Bell,UWM,32,30.5,4.9,11.6,0.423,2.3,6.1,0.383,2,2.6,0.759,1.4,2.3,0.3,2.9,3.2,1.8,1.2,0.1,14.1
Sam Hauser,MU,35,32.6,5,10,0.499,2.7,5.6,0.487,1.5,1.7,0.836,1.2,2.1,1,4.7,5.7,2.9,1,0.5,14.1
Rich Williams,MAN,29,31.3,5.1,11.7,0.438,1.9,4.4,0.426,1.8,2.3,0.791,2.9,2.1,0.8,3.9,4.6,2.7,0.7,0.1,14.1
Riley LaChance,VU,32,31.7,4.9,10.7,0.457,2.5,6.1,0.418,1.8,2.3,0.781,1.2,2,0.4,2.8,3.2,3.2,0.5,0,14.1
Cody Martin,UNR,36,35.7,5.4,10.4,0.517,0.4,1.4,0.294,2.9,4.1,0.701,2,2.4,1.8,4.4,6.2,4.7,1.7,1.5,14.1
Alante Fenner,SST,31,26.5,4.5,11.4,0.398,1.5,4.9,0.307,3.4,4.5,0.763,2.1,1.5,1.1,3.5,4.6,2.4,1.5,0,14
Robert Johnson,IU,31,34.2,5,11.8,0.427,2.1,5.7,0.373,1.8,2.6,0.704,2.5,2.1,0.2,4.3,4.5,2.7,0.8,0.2,14
Jo Acuil,BU,33,31,5.7,11,0.514,0.2,0.6,0.286,2.5,3.5,0.707,2.1,2.8,2.8,5.8,8.6,0.8,0.5,1.9,14
Justin Robinson,VT,33,30.9,4.5,9.8,0.464,1.5,3.9,0.398,3.4,4.3,0.782,2.5,2.3,0.7,2.1,2.8,5.6,1.2,0.1,14
Colbey Ross,PU,32,31.8,4.7,10.2,0.465,1.3,3,0.427,3.3,4,0.82,2.8,2.4,0.3,2.6,3,5.6,1,0.2,14
Mike Morsell,TU,32,28.1,5.1,11.5,0.439,1.6,4.6,0.347,2.3,3.2,0.723,1.8,2.9,1.4,2.8,4.2,0.9,1,0.4,14
Shaquille Morris,WSU,33,23.7,5.3,9.6,0.553,0.5,1.4,0.391,2.8,3.8,0.728,1.5,2.4,1.7,3.9,5.6,1.3,0.5,1.5,14
Bryce Canda,PSU,33,34.4,5.2,12.9,0.402,2.3,7,0.323,1.3,2,0.657,1.5,1,1.4,4.6,6,2.5,1.7,0.2,14
Terry Larrier,UConn,29,34,5.1,12.8,0.398,1.8,4.7,0.378,1.9,2.4,0.789,2.4,1.7,1.3,3.4,4.8,0.9,0.7,0.2,13.9
Admiral Schofield,UT,35,28.1,5.1,11.3,0.447,1.8,4.6,0.395,1.9,2.6,0.756,1.8,2.9,1.6,4.8,6.4,1.5,1,0.4,13.9
Torin Dorn,NCST,33,28.7,5.4,10.2,0.531,0.7,2.2,0.311,2.4,3.3,0.731,2,2.4,2.4,3.9,6.3,1.4,1,0.4,13.9
