Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Alpha Diallo,PROV,32,30.7,5,10.7,0.466,0.5,2.2,0.214,2.8,3.8,0.733,1.9,2.9,2.2,4.4,6.6,2.3,1,0.3,13.2
Jared Harper,AU,34,30.5,3.3,9.1,0.36,1.8,5.1,0.355,4.9,5.9,0.822,2.1,1.9,0.4,2,2.4,5.4,1.2,0,13.2
Jaren Lewis,ACU,32,31.2,5,9.1,0.548,0.4,1.1,0.361,2.8,3.6,0.791,2.3,2.4,2.4,5.2,7.7,1.8,1.6,0.9,13.2
Drew Eubanks,OSU,32,31.3,5.1,8.2,0.624,0,0,0,2.9,4.2,0.701,1.8,2.7,1.8,5,6.8,1.1,0.5,1.7,13.2
Kahron Ross,LU,30,32.8,4.9,9.8,0.502,1.3,3,0.427,2.1,2.9,0.724,1.8,2.1,0.5,2.5,3,4.2,1.4,0.2,13.2
Kenrich Williams,TCU,32,36,4.8,10.2,0.477,1.4,3.6,0.395,2.1,3,0.688,2,2.5,2.8,6.5,9.3,3.9,1.8,0.5,13.2
Trey Porter,ODU,32,23.6,4.6,7.8,0.586,0,0,1,4,6,0.67,1.3,2.8,2.5,3.7,6.2,0.5,0.5,1.3,13.2
Jordan Dartis,OU,29,30.6,4.3,9.9,0.431,2.7,6.3,0.424,1.9,2.2,0.846,1.4,2,0.4,3.1,3.6,2.1,1.2,0.1,13.1
Dedric Boyd,EKU,24,27.1,4.3,12.2,0.352,1.4,5,0.281,3.1,3.8,0.833,2.5,2,0.6,2.7,3.3,2,0.9,0.1,13.1
A.J. Brodeur,PENN,33,31,5.4,10.1,0.536,0.6,2.1,0.286,1.7,2.7,0.611,2.5,2.7,1.8,5.4,7.2,2.5,0.9,1.2,13.1
Malcolm Drumwright,JSU,36,34.2,4.5,11.2,0.4,2,5.6,0.361,2.1,2.5,0.843,1.3,2,0.4,2.1,2.5,3.6,0.7,0.1,13.1
Sean Hoehn,SHU,30,33.4,4.4,11.1,0.396,1.6,5.2,0.312,2.7,3.4,0.792,2.6,2.5,0.7,3,3.6,4.2,1.4,0.1,13.1
Akolda Manyang,UVU,31,21.6,4.8,7.7,0.63,0,0,0,3.4,4.9,0.697,2.4,2.8,2.7,5.4,8.1,0.8,0.4,2.3,13.1
Jimond Ivey,AKR,32,33.1,4.4,11.1,0.399,1.9,5.6,0.339,2.3,3,0.763,2.4,2.7,1.2,4.5,5.7,3.5,1.1,0.4,13.1
Corey Davis,U of H,35,30.2,4.2,9.5,0.443,2.9,6.9,0.429,1.7,2.1,0.808,1.4,2,0.7,2.4,3.1,2.4,0.9,0,13.1
Kendall Smith,OSU,35,26.9,4.7,11.8,0.401,1.4,3.5,0.41,2.2,3.3,0.667,2.1,1.7,0.6,2.5,3.1,2.9,1,0,13.1
Harald Frey,MSU,32,32.3,4.2,9.7,0.428,2,5.3,0.374,2.8,3.6,0.765,1.7,1.7,0.3,2.8,3.1,3.2,0.8,0,13.1
Kendall Stephens,UNR,37,27.6,4.2,9.5,0.443,3.4,7.9,0.432,1.3,1.4,0.922,0.8,2.4,0.4,1.6,2.1,0.6,0.5,0.6,13.1
Tyler Hagedorn,USD,34,24.6,4.5,10.2,0.442,1.3,3.3,0.396,2.7,3.3,0.823,1.3,2.5,1.5,4.4,5.9,1.1,0.7,0.8,13
Jacob Evans,UC,36,30.8,4.5,10.5,0.427,1.7,4.5,0.37,2.4,3.2,0.754,1.8,2,1.4,3.3,4.7,3.1,1.3,1,13
Mike Thomas,UH,28,23.2,4.5,8,0.561,0.2,0.9,0.24,3.9,5.5,0.701,1.6,3.1,2,4,6,1.2,0.2,0.3,13
Matt Milon,W&M,31,30.4,4.3,8.9,0.486,2.5,5.8,0.428,1.9,2,0.921,1.1,1.7,0.4,2.4,2.7,1.1,0.6,0.2,13
Sam Logwood,UNM,26,25.7,4.7,9.5,0.492,0.2,0.4,0.364,3.5,4.4,0.8,2.3,2.6,1.8,3.4,5.2,1.5,0.5,0,13
Jared Wilson-Frame,PITT,32,28,4.4,11.8,0.375,2.3,7.2,0.32,1.8,2.2,0.829,2.2,2,0.8,2.8,3.5,1.6,0.5,0.1,13
Udoka Azubuike,KU,36,23.6,5.9,7.6,0.77,0,0,0,1.2,3,0.413,1.8,3,2.4,4.6,7,0.7,0.6,1.7,13
Donovan Fields,POLY,31,32.2,4.7,11.5,0.408,1.2,2.9,0.407,2.4,2.6,0.926,2.4,2.5,0.3,3,3.3,4.1,1.2,0.1,13
Charles Matthews,UM,41,30.1,5,10.1,0.495,0.8,2.6,0.318,2.1,3.8,0.558,2,2.1,1.3,4.2,5.5,2.4,0.7,0.6,13
George King,CU,32,28.5,4.4,10,0.445,1.9,4.9,0.395,2.1,2.7,0.782,2,2.4,1.8,6.1,7.8,1.1,0.5,0.7,12.9
Killian Tillie,GU,36,26.2,5,8.7,0.58,1.2,2.6,0.479,1.6,2.1,0.773,1.6,2.4,1.7,4.2,5.9,1.7,0.8,1,12.9
Kevin Zabo,KSU,34,28.8,4.6,10.8,0.421,1.3,4,0.321,2.5,3.2,0.787,1.9,2.9,0.6,2.6,3.2,2.4,1.1,0.1,12.9
B.K. Ashe,LONG,33,34.2,4.6,12.9,0.359,1.5,5.4,0.288,2.1,2.8,0.75,2.9,1.9,0.9,4.2,5.1,2.3,1.3,0.3,12.9
Josh Ajayi,USA,31,29.6,4.6,9.6,0.485,0.4,1.5,0.271,3.2,4.3,0.744,2.3,1.8,1.8,4.9,6.7,0.9,0.5,0.4,12.9
Mo Bamba,UT,30,30.2,4.9,9,0.541,0.5,1.7,0.275,2.7,4,0.681,1.5,2.5,3.2,7.3,10.5,0.5,0.8,3.7,12.9
Gary Clark,UC,36,28.5,4.4,8.4,0.526,0.8,1.7,0.435,3.2,4.4,0.741,1,2.1,3,5.7,8.7,2.1,1.4,1.2,12.9
"Daxter Miles, ",WVU,36,28.6,4.4,9.9,0.447,1.7,4.9,0.347,2.3,3.1,0.741,1.4,3.1,1.2,1.6,2.8,3.1,1.3,0,12.9
Loudon Love,WRST,35,27.8,5.3,10,0.533,0,0,0,2.3,4.2,0.541,2.4,2.7,3,6.7,9.7,1.1,0.8,1,12.9
T.J. Holyfield,SFA,35,27.2,4.8,8.7,0.548,0.8,1.9,0.412,2.5,3.4,0.748,2.7,2.9,2.4,4,6.3,0.9,1.1,1.3,12.9
Jordan Chatman,BC,34,36.8,4.1,9.9,0.415,2.6,6.5,0.395,2.1,2.3,0.899,0.8,1.7,0.5,2.5,2.9,1.6,0.6,0,12.9
Cedric Hankerson,BU,25,27.1,4.4,10.8,0.409,2,5.8,0.338,2.1,3.6,0.589,1.7,2.3,0.9,2.5,3.4,1.6,1.5,0.2,12.9
De'Riante Jenkins,VCU,33,29.5,4.5,10.4,0.433,2.4,5.7,0.418,1.5,1.9,0.75,2.5,1.9,0.8,2.9,3.7,2.5,1.3,0.2,12.9
Muhammad-Ali Abdur-Rahkman,UM,41,34.9,4.4,10.1,0.431,1.8,4.8,0.374,2.4,3.1,0.752,0.7,1.6,0.7,3.2,3.9,3.2,0.9,0.2,12.9
"Steven Haney, ",LMU,24,30.4,4,10.4,0.384,2.8,6.7,0.412,2.1,2.8,0.773,1.2,2,0.2,2.1,2.4,1.5,0.8,0,12.9
Max Mahoney,BU,30,21,5.4,9,0.601,0,0,0,2,3.6,0.556,1.8,2.7,1.5,3.4,4.8,1.2,0.6,0.9,12.9
J.P. Macura,XAV,34,29.7,4.3,9,0.479,1.4,3.8,0.377,2.8,3.4,0.821,2,2.2,1.3,3.1,4.5,2.9,1.4,0.4,12.9
Malik Pope,SDSU,32,26.3,5.2,10.1,0.52,0.4,1.2,0.359,1.9,2.8,0.685,1.8,2.2,2.2,4.6,6.8,1.2,0.7,1.2,12.8
Daniel Norl,UNO,31,31.7,4.5,9.4,0.474,1.4,4,0.355,2.5,3.1,0.821,2.2,2.2,0.6,2.8,3.4,2.5,0.8,0.2,12.8
Phil Cofer,FSU,35,29.3,4.8,9.9,0.486,1.4,3.7,0.375,1.9,2.7,0.691,1.2,1.4,1.6,3.5,5.1,0.7,0.5,0.2,12.8
Isaac Copeland,UNL,33,30.7,4.8,10.2,0.472,1.2,3.4,0.369,1.9,2.8,0.696,1,1.7,1.7,4.4,6.1,1.2,0.8,1,12.8
Chris Lewis,HAR,32,26.2,5.4,8.9,0.601,0,0,0,2.1,3,0.688,1.8,2.8,1.9,3.6,5.5,1.2,0.5,1.5,12.8
Marlain Veal,SELU,34,33.7,4.1,9.2,0.446,1.1,2.9,0.36,3.5,4.6,0.753,3.4,2.3,0.9,4.3,5.2,6.1,1.9,0.1,12.8
Jamar Akoh,UM,34,25.9,4.6,8.1,0.57,0,0.1,0.2,3.5,5.2,0.667,2.1,3.3,2.4,4.3,6.6,1.1,0.9,0.7,12.8
Maurice Rivers,JSU,29,24.7,4.7,11.8,0.395,0.5,1.7,0.292,3,4.3,0.696,1.8,3.3,1.9,3.4,5.3,1.1,0.7,0.9,12.8
Fred Scott,RU,32,23.8,4.7,8.9,0.521,1,2.6,0.381,2.5,5.5,0.446,1.8,2.3,2.1,4.5,6.5,0.8,0.6,0.3,12.8
Jordan McLaughlin,USC,36,35.3,4.4,9.8,0.449,1.5,3.8,0.397,2.4,3.3,0.746,2.6,1.1,0.7,2.9,3.7,7.8,2,0.2,12.8
Brandon Better,SUU,31,24.1,4,10.5,0.38,2.2,5.7,0.384,2.6,3.1,0.845,2.2,2.1,0.4,2,2.4,1.3,0.9,0,12.8
Kalin Fisher,HU,33,30.5,4.8,10.9,0.442,1.2,3.5,0.333,1.9,2.3,0.831,1.6,1.7,0.7,4,4.7,2.1,0.6,0.1,12.8
Bennett Koch,UNI,31,24.2,4.3,7.8,0.556,0,0,0,4.1,5.6,0.734,2,2.3,1.9,4.2,6.1,0.5,0.7,0.8,12.7
Anthony Mathis,UNM,34,22.4,3.9,8,0.494,2.9,6.1,0.473,2,2.3,0.859,0.8,2.6,0.4,1.7,2.1,1,0.6,0.1,12.7
Zach Norvell,GU,37,27,4.3,9.5,0.455,2.1,5.6,0.37,1.9,2.4,0.8,1.6,2.1,1.1,2.8,3.9,2.3,1.1,0.1,12.7
Kajon Mack,TTU,32,34.6,4.1,10,0.414,1.2,3.8,0.317,3.3,4.2,0.772,1.9,2.4,1.2,3.9,5.1,3.9,1,0.4,12.7
Garrett Sams,UNF,28,27.8,4,9.6,0.415,2,5,0.393,2.8,3.4,0.802,2.5,2.1,0.6,3.6,4.2,1.4,0.7,0.2,12.7
Christian Mekowulu,TSU,30,29.1,4,7.8,0.519,0.1,0.2,0.4,4.6,6.1,0.745,2.4,3.2,2.4,5.5,7.9,0.9,0.9,1.5,12.7
Jalen Canty,UCSB,26,27.5,5,8.5,0.586,0,0,0,2.8,4.2,0.661,1.3,2.5,3.4,4.3,7.7,1,0.5,1.8,12.7
Davon Bell,PC,32,33.6,4.2,9.9,0.423,0.8,2.5,0.325,3.5,4.3,0.806,2.2,2,0.4,2.8,3.2,5.2,1.6,0.2,12.7
Emmanuel Chukwubuikem Nzekwesi,ORU,32,30.4,5,11.1,0.454,0.5,2,0.234,2.2,3.2,0.676,2.1,2.2,2.7,4.5,7.2,1.7,1.2,0.7,12.7
Mike Amius,WCU,32,23.1,4.8,8.7,0.549,0,0,0,3.2,5,0.634,2.8,3,1.9,3.7,5.6,1.1,1.2,0.8,12.7
Ryan Woolridge,UNT,38,36.6,5,10.1,0.496,0.4,1.4,0.315,2.2,4.4,0.506,3.4,2.1,0.9,4.3,5.2,5.8,1.4,0.4,12.7
Chance Murray,UCR,31,34.1,4.2,12.3,0.344,1.3,4.5,0.279,3,4.3,0.687,2.5,1.9,0.8,4.6,5.4,3.8,1.8,0.2,12.7
Damani Applewhite,SCSU,30,29.3,4.9,9.1,0.538,0,0.1,0.333,2.8,4.1,0.697,1.2,1.6,1.9,4.9,6.8,0.7,0.5,0.2,12.7
Frank Booker,USC,33,27,3.8,8.8,0.433,2.6,6.3,0.409,2.5,3.2,0.771,1.1,1.9,0.6,2.9,3.5,1.2,1.1,0.2,12.7
Ja Morant,MSU,32,34,4.2,9.1,0.459,0.8,2.8,0.307,3.5,4.3,0.806,2.5,2,1.7,4.8,6.5,6.3,0.9,0.4,12.7
Kodi Justice,ASU,32,32.2,4.5,9.8,0.458,2.4,6.3,0.381,1.3,2,0.646,1.5,1.9,0.2,2.4,2.7,2,1.2,0.2,12.7
Jamal Aytes,SUU,32,21.3,5.1,8.8,0.584,0,0.1,0.5,2.4,3.2,0.738,1.5,3.2,1.7,3.6,5.2,0.7,0.5,0.2,12.7
Tadric Jackson,GT,29,28.9,5.1,11.6,0.445,1,3.4,0.286,1.4,2.3,0.612,2.3,2.2,0.8,2.9,3.7,2.2,0.9,0.2,12.7
Eli Scott,LMU,31,30.9,4.8,10.1,0.471,0.1,0.5,0.133,3,5,0.606,2.7,2.1,2.8,4.5,7.3,2.3,0.8,0.3,12.6
Jarren Greenwood,MSU,28,34.1,4,9.4,0.426,1.1,3.5,0.33,3.5,4.2,0.831,2.3,1.8,0.4,3.5,3.8,3.2,0.8,0.1,12.6
Thomas Welsh,UCLA,33,33.2,4.9,10.1,0.485,1.4,3.4,0.402,1.5,1.8,0.828,1,2.4,2.6,8.2,10.8,1.4,0.7,0.9,12.6
Takal Molson,CAN,33,29.3,4.2,9.4,0.442,1.4,3.7,0.369,3,4.3,0.685,2.1,2.6,1.8,3.2,5,2.6,1.2,0.4,12.6
Cassius Winston,MSU,35,28.1,4.1,8.1,0.507,2.1,4.3,0.497,2.3,2.6,0.9,2.5,2,0.2,3.2,3.4,6.9,0.7,0.1,12.6
Karon Wright,SCSU,32,26.1,4,10.9,0.369,2.9,8.1,0.359,1.7,2,0.815,1.5,1.9,0.6,1.7,2.3,0.9,0.7,0.1,12.6
Terance Mann,FSU,34,29.2,5,8.9,0.568,0.4,1.5,0.25,2.2,3.3,0.655,1.8,1.7,1.9,3.5,5.4,2.6,0.9,0.3,12.6
Stevie Jordan,RU,31,32.6,4.6,10.2,0.449,0.7,2.7,0.277,2.7,4.1,0.661,3.1,2.4,0.9,2.8,3.8,5.9,1.6,0.3,12.6
Jadon Cohee,SUU,32,33.6,3.9,9.9,0.397,1.4,3.8,0.374,3.3,4.1,0.795,1.9,2,0.1,2.4,2.5,3.1,0.5,0.1,12.6
Nick Griffin,SPC,32,32.7,4.4,11.5,0.382,2.3,6.3,0.363,1.5,2,0.738,1.3,1.3,0.3,2.6,2.9,1.2,0.5,0.2,12.6
C.J. Jackson,OSU,34,30.5,4.2,10,0.416,1.9,5,0.379,2.4,3,0.792,2.1,2.1,0.5,3.4,3.9,3.9,1,0.2,12.6
Cameron Lard,ISU,29,26.4,5.6,9.2,0.601,0,0,0,1.5,2.5,0.589,1.9,2.8,3.4,4.7,8.1,0.6,0.5,2.2,12.6
Connor Burchfield,W&M,31,30.5,4.3,8,0.536,2.9,5.5,0.52,1.1,1.3,0.875,1.5,1.8,0.2,3,3.3,1.9,0.8,0.1,12.6
Kevin McClain,BEL,33,32.4,4.4,9.6,0.456,1.7,4.9,0.354,2.1,2.9,0.716,1.6,1.6,0.8,3,3.8,2.1,1,0.2,12.6
Pat Andree,LU,30,28,4.2,9.2,0.458,2.6,6.1,0.429,1.5,1.8,0.852,1,2.3,0.9,4.9,5.8,0.7,0.5,0.4,12.6
Baker Evelyn,VAL,32,31.3,4.4,9.8,0.449,1.8,4.7,0.383,2,2.7,0.765,2.8,2.2,0.2,2.8,3.1,2.9,1.4,0.1,12.6
Prokop Slanina,FORD,29,31.8,5,10,0.498,1.2,3.3,0.368,1.3,1.8,0.765,1.5,3.6,1.6,3.5,5.1,1.4,1.2,1.3,12.6
Duop Reath,LSU,33,24.2,5.1,9.3,0.544,0.6,1.4,0.422,1.8,2.9,0.629,1.7,2.5,1.9,3.4,5.3,0.7,0.5,1,12.5
Marvin Clark ,STJ,33,31,4.3,9.5,0.458,2,4.8,0.411,1.9,2.2,0.851,1.8,3.4,1.2,3.5,4.7,1,1.2,0.2,12.5
E.J. Crawford,IC,33,26.8,4.4,9.6,0.461,1.5,4.5,0.338,2.2,2.7,0.8,1,1.8,0.5,2.9,3.4,1.1,0.6,0.3,12.5
Devin Harris,JAC,29,33.6,4.2,9.2,0.451,0.3,1.2,0.265,3.9,5.2,0.737,3.3,1.8,1.1,6.5,7.6,5.4,1.7,0.2,12.5
Desmond Bane,TCU,33,30.5,4.4,8.2,0.539,1.8,3.9,0.461,1.9,2.5,0.78,1.8,2.3,0.5,3.6,4.1,2.5,0.9,0.2,12.5
Isaac Fleming,ECU,30,32.1,4.8,10.8,0.444,0.8,2.9,0.264,2.1,3.2,0.66,3.6,2.7,1.3,2.5,3.8,4.8,1.2,0.1,12.5
Stephan Jiggetts,USF,32,34,4.2,11.2,0.37,1.9,4.8,0.399,2.3,2.8,0.811,2.3,2.3,0.3,2.5,2.9,3.2,0.7,0.1,12.5
Braian Angola-Rodas,FSU,35,27.5,3.9,9.3,0.417,1.8,4.9,0.376,2.9,3.5,0.837,2.1,2.5,0.9,3,3.9,3,1.3,0.3,12.5
Josh Nzeakor,LU,33,27.9,4.7,9.2,0.513,0,0,0,3.1,5.1,0.607,1.8,2.9,3.1,4.4,7.5,0.7,0.8,0.5,12.5
Trent Frazier,U of I,32,26.3,4.4,10.8,0.405,1.9,5.5,0.347,1.8,2.8,0.644,2.2,2.1,0.2,1.5,1.8,3.1,1.7,0,12.5
"Kerry Blackshear, ",VT,33,25.2,4.2,7.5,0.558,0.5,1.5,0.306,3.6,4.8,0.747,1.5,3.1,1.7,4.2,5.9,1.2,0.8,0.9,12.5
Dennis Jones,PVAMU,33,31.9,4.1,10.2,0.4,1,3.4,0.286,3.4,5.5,0.617,3.7,2.9,0.6,1.4,2,5.2,1.9,0,12.5
Ian DuBose,HBU,31,28.6,4.2,10.3,0.406,1.1,3.2,0.35,3,4.8,0.62,2.2,3,1.8,3.7,5.5,2,1.4,0.4,12.5
Daquan Bracey,LTU,25,24.9,4.5,9.6,0.469,1,2.6,0.406,2.4,3.7,0.641,2.4,1.7,0.6,1.2,1.9,4.1,0.9,0.1,12.4
Nick Ward,MSU,35,18.9,4.6,7.1,0.648,0,0,1,3.1,5.1,0.621,1.7,2.3,2.7,4.4,7.1,0.5,0.3,1.3,12.4
Carl Pierre,UMass,33,31.2,4.3,9.6,0.443,2.8,5.9,0.472,1.1,1.3,0.818,1,2.1,0.3,1.9,2.2,1.1,0.6,0.3,12.4
Gabe Vincent,UCSB,32,29.1,4.3,9.6,0.45,1.7,4.6,0.377,2.1,2.6,0.805,1.2,2.9,0.1,1.8,1.9,3.2,1.1,0.2,12.4
Tarin Smith,DUQ,32,28.5,4.2,10,0.414,1.2,3.7,0.333,2.9,4.4,0.657,2.2,1.7,0.5,2.5,3,3.2,1,0.5,12.4
Aaron Brennan,IUPUI,30,27.3,4.7,10.1,0.464,1,2.8,0.345,2.1,2.6,0.797,1.8,2.6,1.3,3.2,4.5,1.6,1,0.6,12.4
Mack Smith,EIU,25,27.3,4.2,9.2,0.459,2.2,5.6,0.388,1.8,2.4,0.746,1.6,2.2,0.2,3.6,3.8,1.4,0.7,0.2,12.4
David DiLeo,CMU,36,33.6,3.9,10,0.39,2.7,7.6,0.349,1.9,2.4,0.805,0.8,1.8,1.9,4.8,6.6,1.4,0.9,0.2,12.4
Anders Broman,WIN,31,31.3,3.8,9,0.424,2.4,6.3,0.376,2.4,2.8,0.852,0.9,2.2,0.3,2.5,2.8,1.9,1.1,0.1,12.4
Fatodd Lewis,UTM,30,29.2,4.8,10.6,0.451,0.7,2.8,0.265,2.1,2.9,0.716,2,2.5,2.1,5.2,7.3,1.3,1,0.6,12.4
Shawn Williams,ECU,30,28.2,3.9,9.6,0.405,2.4,6.5,0.367,2.2,2.5,0.878,1.6,1.5,0.1,1.5,1.6,1.7,0.5,0,12.4
Kurk Lee,DREX,33,35.9,4.5,11.6,0.385,1.5,4.5,0.342,1.9,2.5,0.759,2.3,2.3,0.7,2.7,3.4,3.2,1.2,0.1,12.4
Olin Carter III,USD,34,34.8,4.2,10.7,0.39,2.6,7.2,0.357,1.4,1.8,0.79,1.1,2.5,0.3,2.8,3,1.6,1,0.6,12.4
Jacoby Ross,ASU,26,24.8,4,9.7,0.414,1.8,4.8,0.379,2.5,3.2,0.795,1.8,1.7,0.4,1.4,1.8,2.3,0.7,0,12.3
"Kerwin Roach, ",UT,32,33.4,4.4,10,0.438,1.4,3.8,0.364,2.2,3.4,0.651,2.5,2.5,0.8,2.9,3.7,3.6,1.5,0.2,12.3
Tevin Foster,ACU,32,32.4,3.8,9.1,0.419,1.4,4.5,0.317,3.3,4.1,0.802,2.7,2.3,0.6,2.5,3.1,3.5,1.5,0.1,12.3
Raymond Spalding,U of L,36,27.6,5.1,9.4,0.543,0.1,0.5,0.263,2,3.2,0.64,1.7,3,3.1,5.5,8.7,1.3,1.5,1.7,12.3
Admon Gilder,TAMU,30,32,4.2,9.2,0.458,1.6,4,0.395,2.3,2.8,0.821,1.7,2.2,0.6,3.5,4.1,2.6,1.2,0.2,12.3
Miles Wright,DART,27,32.3,4.2,10.1,0.415,1.9,5.4,0.345,2.1,2.6,0.826,1.6,2.5,0.7,3.7,4.4,1.1,1.5,0.6,12.3
Josh Perkins,GU,37,32.9,4.2,9.6,0.439,2.2,5.7,0.393,1.6,2.2,0.753,2.1,2.5,0.5,2.6,3.1,5.3,1.2,0.1,12.3
Payton Henson,UVM,34,31.2,4.3,9.5,0.45,1.1,2.6,0.404,2.7,3.4,0.809,1.7,1.5,1.5,4,5.5,1.6,0.3,0.3,12.3
Gerdarius Troutman,FAU,31,27.1,3.9,9.4,0.418,2.4,5.8,0.414,2,2.3,0.875,0.7,0.8,0.5,2.1,2.5,1.1,0.9,0.1,12.3
"Marcus Shaver, ",UP,32,28.4,4.2,10.2,0.414,1,3.9,0.266,2.8,3.3,0.858,1.6,2.2,0.2,3.1,3.3,2.3,1,0,12.3
"Ferron Flavors, ",FU,33,31.3,4.1,11.5,0.354,2.9,8.6,0.336,1.3,1.8,0.741,0.8,1.9,0.5,3.1,3.6,1.1,0.6,0,12.3
Matt Harris,UML,30,31.3,3.6,9.2,0.394,2.4,6.6,0.371,2.6,3,0.867,1.7,2.4,0.3,3,3.3,0.8,0.9,0.1,12.3
Jae'sean Tate,OSU,34,29.6,5,9,0.557,0.3,1,0.314,1.9,3.2,0.591,2.2,3.2,1.3,4.9,6.2,2.9,1.1,0.6,12.3
Lamar Morgan,CSU,31,31.1,3.8,9.9,0.383,2.8,7.7,0.37,1.8,2.3,0.814,1.7,2.7,0.4,4.7,5.1,0.4,0.7,0.2,12.3
Jaire Grayer,GMU,32,30.7,4.5,11.2,0.397,2.1,5.9,0.354,1.2,1.7,0.727,1.5,2.1,1.8,5.5,7.2,1.3,1.3,0.8,12.3
Zach Braxton,WSU,30,28,4.4,8,0.554,0,0,0,3.4,5.1,0.662,1.3,2.7,1.7,6,7.8,1.3,0.3,1,12.3
David Collette,U of U,34,21.7,5,7.9,0.631,0.1,0.2,0.333,2.3,3.1,0.72,1.4,2.7,1.4,3.1,4.5,1.3,0.8,0.7,12.3
Daniel Simmons,SEMO,31,24.9,4.2,9.2,0.461,1.5,3.4,0.452,2.3,3.4,0.676,1.8,2.2,0.5,3.3,3.7,2,1,0.1,12.3
Dmitri Thompson,ELON,32,31.7,4.2,9.2,0.454,1.5,4,0.383,2.4,3.2,0.755,1.6,1.7,1.2,4.2,5.3,2.2,0.7,0.2,12.2
Damiyne Durham,CSUB,28,26.8,4.4,11.8,0.375,2.5,8,0.309,0.9,1.4,0.684,1.4,1.1,0.8,2.1,2.9,1.4,1.1,0.4,12.2
Steven Whitley,NSU,33,28.7,4.4,9.8,0.446,0.9,2.7,0.348,2.6,3.9,0.654,3.1,2.8,1.3,4.4,5.7,4.7,1.6,0.1,12.2
Shelton Mitchell,CLEM,33,33.4,3.7,9.3,0.399,1.5,4.1,0.368,3.3,3.8,0.857,2,1.4,0.4,2.6,3,3.6,0.8,0,12.2
Devin Watson,SDSU,33,31.3,3.9,9.7,0.408,1.5,3.8,0.389,2.9,3.8,0.754,1.8,1.4,0.5,2.1,2.6,3.8,1,0,12.2
Nate Navigato,U of T,34,32.6,3.9,8.6,0.451,2.8,6.5,0.427,1.7,2.2,0.784,0.6,1.5,0.8,3.4,4.2,1.7,0.4,0.5,12.2
Henry Caruso,SCU,31,36,3.9,8.1,0.48,1,2.7,0.361,3.5,4.1,0.843,1.4,1.7,2.4,4.6,7,1.7,1.2,0.2,12.2
A.J. Davis,UCF,31,33,3.8,8.8,0.436,1,2.9,0.33,3.6,5.2,0.689,2.1,2.1,1.9,5.6,7.6,2.2,0.9,0.4,12.2
Kevin McKay,CMU,34,27.1,4.5,8.2,0.554,0.4,1.1,0.378,2.7,3.2,0.861,1.9,2.5,2.9,3.6,6.5,1.9,1.8,0.6,12.2
De'Monte Buckingham,RICH,30,31.7,4,9.1,0.438,1.2,3.6,0.324,3,3.9,0.778,2.7,2.4,1.6,5.4,7,3.4,1,0.4,12.2
Randy Haynes,ODU,32,29.9,4.5,11.7,0.387,2,6.3,0.322,1.1,1.6,0.686,1.4,2.6,1,2.8,3.7,2.4,1.3,0.2,12.2
Alessandro Lever,GCU,34,21.3,4.1,9.1,0.453,0.8,2.4,0.321,3.2,4.1,0.766,1.7,2.6,1.2,3.1,4.4,1.2,0.4,0.4,12.2
Joseph Chartouny,FORD,29,36,3.9,10.6,0.371,1.4,4.9,0.284,2.9,4.2,0.697,2.4,2.4,0.8,4.8,5.6,4.6,3.3,0.3,12.2
Brian Dawkins,ELON,29,28.3,4.9,9.9,0.493,1.3,4,0.325,1.1,1.8,0.608,1.2,2.5,1.1,4.3,5.4,1.2,0.4,0.3,12.2
Jordan Walker,MSU,29,31.6,3.8,10,0.384,1.5,4.5,0.331,3,4.1,0.739,2.6,2.9,0.7,2.5,3.2,2.7,1.2,0.3,12.2
Dusan Ristic,U of A,35,27.1,5.1,8.9,0.569,0.2,0.4,0.4,1.8,2.3,0.79,1.3,2.4,2.1,4.9,6.9,0.9,0.4,0.5,12.2
Jehyve Floyd,HC,31,29.8,5.3,8,0.668,0,0,0,1.5,3.1,0.485,2.3,3.4,1.1,4.5,5.6,1.6,0.9,2.2,12.2
Lavelle Scottie,AF,31,26.6,4.7,10.2,0.457,1.2,3.4,0.352,1.6,2.2,0.725,2.2,2.3,1.5,2.9,4.4,1.4,0.7,0.5,12.2
Justin Simon,STJ,33,36.1,4.6,9.7,0.473,0.5,1.1,0.417,2.5,3.8,0.661,2.9,2.7,1.2,5.9,7.1,5.1,2.5,0.8,12.2
Shawn Johnson,UIW,28,32.1,3.8,9.3,0.406,2.1,5.8,0.36,2.5,3.5,0.707,1.5,2.4,1.1,5.7,6.8,1.9,1.5,1.6,12.1
Joseph Lopez,SHU,30,26.7,5.2,10.9,0.482,0,0.6,0.053,1.6,3.6,0.45,2.1,2.6,3.5,5.7,9.2,0.9,0.6,0.4,12.1
Jackson Rowe,CSUF,31,30,4.4,7.5,0.581,0.8,1.9,0.414,2.6,3.3,0.777,2.1,2.3,1.4,5.4,6.7,1.6,0.9,1,12.1
Luka Garza,UI,33,21.7,4.4,7.9,0.557,0.5,1.4,0.348,2.8,4.1,0.681,1.1,2.4,2.4,4,6.4,1.1,0.3,1,12.1
Jose Alvarado,GT,25,35,4,8.8,0.448,1.6,4.3,0.37,2.6,3.2,0.802,2.4,2.4,0.6,3.1,3.7,3.1,1.7,0.1,12.1
