TEAM,CONF
Nevada,MWC
Ole Miss,SEC
St. John's,BE
Stephen F. Austin,Slnd
Prairie View A&M,SWAC
Georgia State University,SB
Coastal Carolina,SB
South Dakota State,Sum
Memphis,Amer
Buffalo,MAC
Furman,SC
Campbell,BSth
South Alabama,SB
Weber State,BSky
Missouri State,MVC
Arizona,P12
Louisiana,SB
Mercer,SC
Wright State,Horz
Colorado State,MWC
Texas State,SB
Nicholls State,Slnd
Boise State,MWC
Chattanooga,SC
UC Irvine,BW
Jacksonville State,OVC
Sam Houston State,Slnd
Southern Utah,BSky
Western Kentucky,CUSA
Louisiana Tech,CUSA
Toledo,MAC
UAB,CUSA
Eastern Kentucky,OVC
Belmont,OVC
Yale,IVY
John A. Logan College,GRAC
Brigham Young University Hawaii,PWC
