pk,tm,player1,college,conf
45,MIL,Jordan Nwora,Louisville,ACC
36,MEM,Sam Young,Pitt,ACC
37,SAS,DeJuan Blair,Pitt,ACC
22,BRK,Mason Plumlee,Duke,ACC
21,UTA,Gorgui Dieng,Louisville,ACC
18,ATL,Shane Larkin,Miami (FL),ACC
15,ORL,Cole Anthony,UNC,ACC
8,CHA,Brandan Wright,UNC,ACC
11,SAS,Devin Vassell,Florida State,ACC
46,CLE,Danny Green,UNC,ACC
12,OKC,Steven Adams,Pitt,ACC
51,SAS,Jack McClinton,Miami (FL),ACC
11,PHI,Michael Carter-Williams,Syracuse,ACC
1,NOP,Zion Williamson,Duke,ACC
22,CHO,Malachi Richardson,Syracuse,ACC
3,NYK,RJ Barrett,Duke,ACC
4,CHI,Patrick Williams,Florida State,ACC
49,DET,Michael Gbinije,Syracuse,ACC
3,NJN,Derrick Favors,Georgia Tech,ACC
4,MIN,Wesley Johnson,Syracuse,ACC
34,NYK,Cleanthony Early,Wichita State,Amer
28,GSW,Jacob Evans,Cincinnati,Amer
46,PHI,Sterling Brown,SMU,Amer
22,POR,Elliot Williams,Memphis,Amer
25,MEM,Dominique Jones,South Florida,Amer
33,POR,Joey Dorsey,Memphis,Amer
50,PHI,Lavoy Allen,Temple,Amer
40,NJN,Chris Douglas-Roberts,Memphis,Amer
2,GSW,James Wiseman,Memphis,Amer
4,SAC,Tyreke Evans,Memphis,Amer
26,PHI,Landry Shamet,Wichita State,Amer
37,BOS,Semi Ojeleye,SMU,Amer
54,DAL,Shake Milton,SMU,Amer
20,MIA,Precious Achiuwa,Memphis,Amer
35,ORL,Melvin Frazier,Tulane,Amer
40,POR,Will Barton,Memphis,Amer
1,CHI,Derrick Rose,Memphis,Amer
44,MIL,Jerome Jordan,Tulsa,Amer
32,WAS,Jermaine Taylor,Central Florida,Amer
60,MIA,Robert Dozier,Memphis,Amer
40,IND,Lance Stephenson,Cincinnati,Amer
4,MEM,Mike Conley,Ohio State,B10
20,IND,Caris LeVert,Michigan,B10
12,LAC,Miles Bridges,Michigan State,B10
31,BOS,Deyonta Davis,Michigan State,B10
40,NOP,Diamond Stone,Maryland,B10
46,DAL,A.J. Hammons,Purdue,B10
47,ORL,Jake Layman,Maryland,B10
23,UTA,Kosta Koufos,Ohio State,B10
4,MEM,Jaren Jackson Jr.,Michigan State,B10
17,MIL,D.J. Wilson,Michigan,B10
29,DET,D.J. White,Indiana,B10
23,TOR,OG Anunoby,Indiana,B10
26,POR,Caleb Swanigan,Purdue,B10
42,UTA,Thomas Bryant,Indiana,B10
35,SAC,Xavier Tillman Sr.,Michigan State,B10
33,MIN,Daniel Oturu,Minnesota,B10
21,PHI,Daequan Cook,Ohio State,B10
57,SAS,James Gist,Maryland,B10
14,CHI,Denzel Valentine,Michigan State,B10
24,DAL,Byron Mullens,Ohio State,B10
29,PHO,Alando Tucker,Wisconsin,B10
31,SEA,Carl Landry,Purdue,B10
50,UTA,Goran Suton,Michigan State,B10
10,PHO,Jalen Smith,Maryland,B10
2,PHI,Evan Turner,Ohio State,B10
28,MEM,Greivis Vásquez,Maryland,B10
56,MIN,Hamady N'Diaye,Rutgers University,B10
53,OKC,Cassius Winston,Michigan State,B10
27,NJN,JaJuan Johnson,Purdue,B10
43,NOK,Adam Haluska,Iowa,B10
36,NJN,Jordan Williams,Maryland,B10
47,SAC,Ignas Brazdeikis,Michigan,B10
40,MIL,Jon Leuer,Wisconsin,B10
41,LAL,Darius Morris,Michigan,B10
45,DET,Isaiah Roby,Nebraska,B10
51,POR,Jon Diebler,Ohio State,B10
55,BOS,E'Twaun Moore,Purdue,B10
34,PHI,Bruno Fernando,Maryland,B10
33,PHI,Carsen Edwards,Purdue,B10
28,GSW,Jordan Poole,Michigan,B10
11,POR,Meyers Leonard,Illinois,B10
21,BOS,Jared Sullinger,Ohio State,B10
1,POR,Greg Oden,Ohio State,B10
35,GSW,Draymond Green,Michigan State,B10
14,BOS,Romeo Langford,Indiana,B10
58,MIN,Robbie Hummel,Purdue,B10
2,ORL,Victor Oladipo,Indiana,B10
4,CHA,Cody Zeller,Indiana,B10
5,PHO,Alex Len,Maryland,B10
9,MIN,Trey Burke,Michigan,B10
24,NYK,Tim Hardaway Jr.,Michigan,B10
52,UTA,Vince Edwards,Purdue,B10
59,PHO,D.J. Strawberry,Maryland,B10
51,NOP,Tony Carr,Penn State,B10
58,SAS,Deshaun Thomas,Ohio State,B10
8,SAC,Nik Stauskas,Michigan,B10
9,CHH,Noah Vonleh,Indiana,B10
48,MIN,Keita Bates-Diop,Ohio State,B10
15,ATL,Adreian Payne,Michigan State,B10
19,CHI,Gary Harris,Michigan State,B10
21,OKC,Mitch McGary,Michigan,B10
7,LAC,Eric Gordon,Indiana,B10
43,DEN,Justin Jackson,Maryland,B10
40,MIN,Glenn Robinson III,Michigan,B10
56,DEN,Devyn Marble,Iowa,B10
2,LAL,D'Angelo Russell,Ohio State,B10
9,CHO,Frank Kaminsky,Wisconsin,B10
18,HOU,Sam Dekker,Wisconsin,B10
25,LAL,Moritz Wagner,Michigan,B10
49,WAS,Aaron White,Iowa,B10
56,NOP,Branden Dawson,Michigan State,B10
19,ATL,Kevin Huerter,Maryland,B10
11,IND,Myles Turner,Texas,B12
58,BOS,Abdel Nader,Iowa State,B12
54,PHI,Marial Shayok,Iowa State,B12
16,HOU,Royce White,Iowa State,B12
32,MIA,Dexter Pittman,Texas,B12
43,SAC,Jahmi'us Ramsey,Texas Tech,B12
24,ATL,Damion James,Texas,B12
21,OKC,Craig Brackins,Iowa State,B12
28,OKC,Perry Jones,Baylor,B12
20,SAS,James Anderson,Oklahoma State,B12
19,BOS,Avery Bradley,Texas,B12
16,PHO,Zhaire Smith,Texas Tech,B12
37,TOR,Quincy Acy,Baylor,B12
38,DEN,Quincy Miller,Baylor,B12
41,POR,Tyshawn Taylor,Kansas,B12
12,MEM,Xavier Henry,Kansas,B12
11,NOH,Cole Aldrich,Kansas,B12
8,ATL,Jaxson Hayes,Texas,B12
6,PHO,Jarrett Culver,Texas Tech,B12
6,GSW,Ekpe Udoh,Baylor,B12
7,SAC,Ben McLemore,Kansas,B12
48,PHO,Taylor Griffin,Oklahoma,B12
12,SAC,Tyrese Haliburton,Iowa State,B12
51,CHI,JamesOn Curry,Oklahoma State,B12
50,IND,Georges Niang,Iowa State,B12
27,UTA,Udoka Azubuike,Kansas,B12
39,POR,Jeff Withey,Kansas,B12
42,PHI,Pierre Jackson,Baylor,B12
1,LAC,Blake Griffin,Oklahoma,B12
51,ORL,Romero Osby,Oklahoma,B12
56,SEA,Sasha Kaun,Kansas,B12
55,POR,Mike Taylor,Iowa State,B12
1,CLE,Andrew Wiggins,Kansas,B12
52,MIA,Darnell Jackson,Kansas,B12
3,PHI,Joel Embiid,Kansas,B12
30,BOS,Desmond Bane,TCU,B12
6,BOS,Marcus Smart,Oklahoma State,B12
2,MIA,Michael Beasley,Kansas State,B12
47,LAL,Sviatoslav Mykhailiuk,Kansas,B12
47,WAS,Henry Walker,Kansas State,B12
33,LAC,Cheick Diallo,Kansas,B12
2,SEA,Kevin Durant,Texas,B12
51,DEN,Monte Morris,Iowa State,B12
12,UTA,Taurean Prince,Baylor,B12
39,PHI,Jawun Evans,Oklahoma State,B12
8,MIL,Joe Alexander,West Virginia,B12
34,MIN,Mario Chalmers,Kansas,B12
9,CHA,D.J. Augustin,Texas,B12
44,MIN,Markel Brown,Oklahoma State,B12
34,SAC,Frank Mason III,Kansas,B12
33,ORL,Wesley Iwundu,Kansas State,B12
60,SAS,Cory Jefferson,Baylor,B12
22,BRK,Jarrett Allen,Texas,B12
