pk,tm,player1,college,conf
45,PHI,Justin Hamilton,LSU,SEC
44,DET,Kim English,Missouri,SEC
42,MIL,Doron Lamb,Kentucky,SEC
12,CHO,P.J. Washington,Kentucky,SEC
13,MIA,Tyler Herro,Kentucky,SEC
39,DET,Khris Middleton,Texas A&M,SEC
16,ORL,Chuma Okeke,Auburn,SEC
31,CHA,Jeff Taylor,Vanderbilt,SEC
30,GSW,Festus Ezeli,Vanderbilt,SEC
22,BOS,Grant Williams,Tennessee,SEC
29,CHI,Marquis Teague,Kentucky,SEC
27,MIA,Arnett Moultrie,Mississippi State,SEC
23,ATL,John Jenkins,Vanderbilt,SEC
18,HOU,Terrence Jones,Kentucky,SEC
3,WAS,Bradley Beal,Florida,SEC
29,SAS,Keldon Johnson,Kentucky,SEC
14,GSW,Anthony Randolph,LSU,SEC
31,BRK,Nicolas Claxton,Georgia,SEC
52,POR,Taurean Green,Florida,SEC
2,CHA,Michael Kidd-Gilchrist,Kentucky,SEC
1,NOH,Anthony Davis,Kentucky,SEC
53,ORL,DeAndre Liggins,Kentucky,SEC
38,CHI,Daniel Gafford,Arkansas,SEC
52,DET,Vernon Macklin,Florida,SEC
47,LAC,Travis Leslie,Georgia,SEC
42,PHI,Admiral Schofield,Tennessee,SEC
7,MIN,Corey Brewer,Florida,SEC
3,ATL,Al Horford,Florida,SEC
45,NOH,Josh Harrellson,Kentucky,SEC
38,HOU,Chandler Parsons,Florida,SEC
37,LAC,Trey Thompkins,Georgia,SEC
19,CHA,Tobias Harris,Tennessee,SEC
49,SAS,Quinndary Weatherspoon,Mississippi State,SEC
51,BOS,Tremont Waters,LSU,SEC
8,DET,Brandon Knight,Kentucky,SEC
41,MIA,Jarvis Varnado,Mississippi State,SEC
36,DET,Terrico White,Ole Miss,SEC
29,ORL,Daniel Orton,Kentucky,SEC
49,PHI,Isaiah Joe,Arkansas,SEC
57,NOP,Jordan Bone,Tennessee,SEC
18,OKC,Eric Bledsoe,Kentucky,SEC
14,HOU,Patrick Patterson,Kentucky,SEC
1,MIN,Anthony Edwards,Georgia,SEC
5,SAC,DeMarcus Cousins,Kentucky,SEC
1,WAS,John Wall,Kentucky,SEC
5,CLE,Isaac Okoro,Auburn,SEC
50,ATL,Skylar Mays,LSU,SEC
59,LAL,Chinemelu Elonu,Texas A&M,SEC
45,MIN,Nick Calathes,Florida,SEC
43,MIA,Marcus Thornton,LSU,SEC
13,NOP,Kira Lewis Jr.,Alabama,SEC
14,BOS,Aaron Nesmith,Vanderbilt,SEC
42,LAL,Patrick Beverley,Arkansas,SEC
42,POR,Derrick Byars,Vanderbilt,SEC
41,MIN,Chris Richard,Florida,SEC
41,MIL,Jodie Meeks,Kentucky,SEC
27,MEM,DeMarre Carroll,Missouri,SEC
40,MIA,Josh Richardson,Tennessee,SEC
36,GSW,Jermareo Davidson,Alabama,SEC
25,OKC,Immanuel Quickley,Kentucky,SEC
35,SEA,Glen Davis,LSU,SEC
11,ATL,Acie Law,Texas A&M,SEC
58,LAL,Joe Crawford,Kentucky,SEC
51,DAL,Shan Foster,Vanderbilt,SEC
57,LAC,Reggie Perry,Mississippi State,SEC
49,GSW,Richard Hendrix,Alabama,SEC
48,MIL,Sindarius Thornwell,South Carolina,SEC
39,CHI,Sonny Weems,Arkansas,SEC
14,MIA,Bam Adebayo,Kentucky,SEC
11,CHO,Malik Monk,Kentucky,SEC
5,SAC,De'Aaron Fox,Kentucky,SEC
34,PHO,Tyler Ulis,Kentucky,SEC
38,WAS,Nate Wolters,South Dakota State,Sum
27,TOR,Pascal Siakam,New Mexico State,WAC
15,DET,Austin Daye,Gonzaga,WCC
60,LAL,Robert Sacre,Gonzaga,WCC
55,UTA,Nigel Williams-Goss,Gonzaga,WCC
21,OKC,Brandon Clarke,Gonzaga,WCC
9,WAS,Rui Hachimura,Gonzaga,WCC
10,MIL,Jimmer Fredette,BYU,WCC
10,SAC,Zach Collins,Gonzaga,WCC
13,DAL,Kelly Olynyk,Gonzaga,WCC
55,POR,Patty Mills,Saint Mary's,WCC
11,ORL,Domantas Sabonis,Gonzaga,WCC
