#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Max Abmas,ORU,28,37.0,8.0,16.8,0.478,3.6,8.3,0.433,4.9,5.5,0.89,2.3,2.2,0.4,2.8,3.2,3.9,1.5,0.2,24.6
2,Luka Garza,UI,31,31.6,9.1,16.4,0.5529999999999999,1.4,3.2,0.44,4.5,6.4,0.7090000000000001,1.5,2.3,3.0,5.7,8.7,1.7,0.7,1.6,24.1
3,Antoine Davis,UDM,22,38.5,8.1,19.1,0.424,3.8,10.1,0.37200000000000005,4.0,4.4,0.917,3.3,1.6,0.2,2.7,2.9,4.8,1.5,0.0,24.0
4,Cam Thomas,LSU,29,33.9,7.0,17.2,0.406,2.3,7.2,0.325,6.7,7.6,0.882,1.7,1.4,0.6,2.8,3.4,1.4,0.9,0.2,23.0
5,A.J. Green,UNI,3,36.3,8.7,18.7,0.46399999999999997,3.7,9.0,0.40700000000000003,1.3,2.0,0.667,3.7,2.0,1.0,4.7,5.7,2.7,1.3,0.7,22.3
6,Loren Cristian Jackson,AKR,23,35.2,7.1,17.6,0.405,2.5,7.6,0.331,5.5,6.2,0.8809999999999999,3.0,1.8,0.7,2.4,3.1,6.1,1.0,0.0,22.3
7,T.J. Starks,CSUN,20,33.6,7.8,17.1,0.455,1.9,5.2,0.369,4.2,5.3,0.785,3.0,1.9,0.6,2.5,3.0,3.0,1.4,0.1,21.7
8,Marcus Burk,IUPUI,18,34.1,7.7,15.9,0.48100000000000004,2.5,6.1,0.409,3.8,4.8,0.802,3.2,2.7,0.4,3.3,3.7,2.2,1.8,0.4,21.7
9,Terry Taylor,APSU,27,37.0,8.4,16.2,0.521,0.9,3.2,0.27899999999999997,3.9,4.9,0.794,2.7,1.7,5.1,6.0,11.1,1.6,1.2,0.9,21.6
10,Stanley Umude,USD,25,32.3,7.7,16.4,0.469,1.6,4.4,0.355,4.6,5.8,0.799,2.5,2.1,0.5,6.5,7.0,3.0,0.4,0.4,21.5
11,Justin Jaworski,LC,15,36.1,7.0,15.1,0.46299999999999997,2.6,6.5,0.39799999999999996,4.9,5.3,0.912,2.3,1.6,0.4,3.3,3.7,2.3,1.5,0.0,21.5
12,Santiago Aldama,L-MD,17,35.0,7.9,15.5,0.513,1.9,5.1,0.368,3.5,5.1,0.6859999999999999,3.2,1.9,1.8,8.3,10.1,2.3,1.0,1.7,21.2
13,Davion Warren,HU,25,35.0,7.5,16.4,0.455,1.9,6.4,0.302,4.3,5.7,0.755,3.7,2.7,1.3,5.0,6.3,3.0,2.1,0.6,21.2
14,Tristan Jarrett,JSU,18,31.8,6.7,15.9,0.42,2.4,6.7,0.358,5.3,6.3,0.8420000000000001,3.0,2.3,1.2,4.2,5.3,1.4,1.4,0.4,21.1
15,Michael Flowers,USA,28,37.2,6.7,15.2,0.43799999999999994,3.1,8.1,0.38799999999999996,4.5,5.5,0.818,3.0,2.1,0.4,4.3,4.6,3.6,1.6,0.1,21.0
16,A.J. Bramah,RMU,12,34.2,8.0,15.7,0.511,0.0,0.2,0.0,5.0,6.2,0.8,2.9,2.6,2.8,7.5,10.3,1.6,1.4,0.4,21.0
17,"Scotty Pippen, Jr.",VU,22,31.8,6.2,14.5,0.428,2.0,5.5,0.358,6.5,7.6,0.85,3.8,2.5,1.0,1.8,2.8,4.9,1.8,0.2,20.8
18,John-Michael Wright,HP,22,33.5,6.9,16.4,0.418,2.2,6.4,0.34299999999999997,4.8,6.2,0.779,2.2,2.2,1.3,3.9,5.2,3.2,1.6,0.3,20.7
19,Jamir Harris,AU,10,39.0,6.7,14.2,0.47200000000000003,3.9,8.9,0.43799999999999994,3.2,4.2,0.762,3.3,2.1,0.5,2.3,2.8,3.5,1.0,0.0,20.5
20,Darrion Trammell,SEA,23,35.7,6.4,15.6,0.41200000000000003,2.0,5.7,0.348,5.6,6.5,0.866,3.4,2.5,0.6,3.2,3.8,5.3,2.0,0.3,20.5
21,Obadiah Noel,UML,19,32.5,6.3,13.0,0.486,1.5,4.7,0.326,6.1,8.1,0.753,3.3,2.8,1.1,3.4,4.5,3.1,1.1,0.2,20.3
22,Cade Cunningham,OSU,27,35.4,6.5,14.8,0.43799999999999994,2.3,5.7,0.4,4.9,5.8,0.846,4.0,2.5,0.7,5.5,6.2,3.5,1.6,0.8,20.1
23,Ayo Dosunmu,U of I,28,35.2,7.5,15.4,0.488,1.1,3.0,0.386,4.0,5.1,0.7829999999999999,3.3,2.1,1.1,5.2,6.3,5.2,1.1,0.2,20.1
24,"Phlandrous Fleming, Jr.",CSU,18,34.2,6.6,16.6,0.395,2.6,8.2,0.32,4.4,5.4,0.8059999999999999,2.7,2.7,0.9,6.5,7.4,2.3,1.8,0.9,20.1
25,Jhivvan Jackson,UTSA,25,33.1,7.3,15.6,0.46799999999999997,2.6,7.0,0.369,2.8,3.5,0.784,2.8,2.9,0.6,3.7,4.2,3.4,1.0,0.3,19.9
