#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Stephen Curry,DAV,34,33.7,9.2,20.2,0.455,3.8,9.9,0.387,6.5,7.4,0.8759999999999999,3.7,2.4,0.6,3.8,4.4,5.6,2.5,0.2,28.6
2,Lester Hudson,UTM,32,36.0,9.8,21.8,0.449,3.3,9.3,0.355,4.6,5.2,0.8809999999999999,3.3,2.7,2.2,5.8,7.9,4.2,2.3,0.6,27.5
3,Jermaine Taylor,UCF,31,31.9,9.4,19.5,0.48,3.0,7.9,0.376,4.5,5.5,0.812,2.8,1.8,1.9,3.3,5.2,1.9,1.3,0.8,26.2
4,David Holston,CSU,32,34.9,8.4,19.8,0.426,4.6,12.3,0.37200000000000005,4.5,5.5,0.8240000000000001,4.1,2.1,1.0,2.8,3.7,6.4,3.0,0.0,25.9
5,Stefon Jackson,UTEP,37,36.1,7.6,17.8,0.42700000000000005,0.9,2.8,0.308,8.4,10.1,0.8340000000000001,2.1,2.7,1.6,3.8,5.4,1.9,1.1,0.1,24.5
6,Josh Akognon,CSUF,32,35.6,7.8,19.3,0.401,4.2,11.4,0.37200000000000005,4.1,4.6,0.892,2.6,2.0,0.6,2.6,3.2,1.6,1.0,0.0,23.9
7,Ryan Toolson,UVU,28,37.1,7.2,15.5,0.46399999999999997,2.6,6.8,0.389,6.8,7.3,0.927,2.5,1.3,0.4,3.3,3.8,3.1,1.0,0.2,23.8
8,Jodie Meeks,UK,36,34.4,7.3,15.8,0.46299999999999997,3.2,8.0,0.406,5.9,6.5,0.902,2.7,1.9,0.5,2.9,3.4,1.8,1.3,0.1,23.7
9,Luke Harangody,ND,34,34.3,8.8,19.2,0.45899999999999996,0.4,1.1,0.368,5.2,6.7,0.777,1.8,2.3,3.5,8.3,11.8,2.1,0.9,0.9,23.3
10,Ben Woodside,NDSU,33,34.5,7.1,15.3,0.46399999999999997,2.0,4.8,0.42700000000000005,7.0,8.3,0.84,3.2,1.3,0.3,3.0,3.2,6.2,1.4,0.2,23.2
11,Jeremy Hazell,SHU,32,36.3,7.3,17.2,0.42700000000000005,3.3,9.1,0.36200000000000004,4.7,6.4,0.74,2.2,2.0,1.3,2.5,3.8,0.9,1.8,0.0,22.7
