#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Reggie Williams,VMI,25,35.1,10.8,20.4,0.528,1.7,6.2,0.27899999999999997,4.6,6.8,0.6709999999999999,3.0,2.1,3.7,6.0,9.7,3.9,2.2,0.7,27.8
2,Charron Fisher,NU,29,37.0,8.8,22.2,0.397,2.4,7.5,0.318,7.6,9.8,0.7709999999999999,3.1,2.6,3.2,6.3,9.5,1.2,1.7,0.6,27.6
3,Michael Beasley,KSU,33,31.5,9.3,17.5,0.532,1.1,2.9,0.379,6.5,8.5,0.774,2.9,2.6,4.0,8.4,12.4,1.2,1.3,1.6,26.2
4,Stephen Curry,DAV,36,33.1,8.8,18.2,0.483,4.5,10.2,0.439,3.8,4.2,0.894,2.6,2.4,0.8,3.8,4.6,2.9,2.0,0.4,25.9
5,Lester Hudson,UTM,33,36.9,8.8,19.0,0.46399999999999997,3.8,9.7,0.38799999999999996,4.3,5.1,0.8340000000000001,3.8,2.6,2.2,5.7,7.8,4.5,2.8,0.7,25.7
6,Arizona Reid,HP,31,35.3,9.8,18.4,0.532,1.1,2.9,0.37799999999999995,3.2,4.4,0.735,2.1,2.8,3.4,7.6,11.0,2.4,1.7,0.5,23.9
7,Stefon Jackson,UTEP,33,35.0,7.9,17.0,0.46399999999999997,1.1,3.2,0.33299999999999996,6.7,9.2,0.7290000000000001,2.3,2.3,1.7,4.0,5.7,1.7,1.2,0.1,23.6
8,Rob McKiver,U of H,34,34.8,6.9,17.3,0.396,4.3,11.1,0.386,5.6,6.3,0.884,2.5,1.9,0.5,3.3,3.9,2.9,1.6,0.1,23.6
9,Ryan Toolson,UVU,29,37.9,7.2,15.2,0.47600000000000003,3.6,8.1,0.436,5.4,5.7,0.951,2.6,1.6,0.4,2.8,3.2,2.9,0.8,0.1,23.4
10,Bo McCalebb,UNO,32,33.3,8.2,16.1,0.506,1.5,3.6,0.405,5.4,7.0,0.772,2.3,2.7,1.6,2.9,4.5,3.1,2.4,0.1,23.2
