#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Trae Young,OU,32,35.4,8.2,19.3,0.42200000000000004,3.7,10.2,0.36,7.4,8.6,0.861,5.2,1.8,0.4,3.5,3.9,8.7,1.7,0.2,27.4
2,Kendrick Nunn,OU,30,37.9,8.7,20.1,0.435,4.5,11.3,0.39399999999999996,4.0,4.7,0.838,2.9,2.2,0.9,3.8,4.7,3.8,1.5,0.4,25.9
3,Jordan Howard,UCA,35,36.0,8.0,17.5,0.457,3.2,8.2,0.39399999999999996,5.9,6.7,0.888,2.3,1.2,0.3,3.3,3.6,2.7,1.0,0.0,25.1
4,Chris Clemons,CAM,31,34.0,7.5,16.6,0.452,3.1,8.3,0.371,6.8,7.9,0.861,2.7,1.9,0.3,4.3,4.6,3.1,1.6,0.3,24.9
5,Justin Wright-Foreman,HOF,31,37.8,8.5,19.0,0.449,3.1,8.5,0.366,4.2,5.3,0.799,2.2,2.0,0.3,3.0,3.3,3.2,0.8,0.2,24.4
6,Mike Daum,SDSU,35,31.1,7.8,16.9,0.462,2.7,6.5,0.425,5.5,6.5,0.851,2.1,2.4,1.8,8.4,10.3,1.3,0.5,0.7,23.9
7,R.J. Cole,HU,33,37.9,7.3,18.5,0.39399999999999996,3.3,9.2,0.359,5.8,7.5,0.77,3.8,2.6,0.8,3.1,3.9,6.0,1.7,0.0,23.7
8,Demontrae Jefferson,TSU,27,37.6,7.7,18.3,0.42,3.1,8.0,0.39399999999999996,4.8,5.9,0.823,3.1,2.5,0.7,2.4,3.1,4.6,1.3,0.0,23.3
9,Jon Elmore,MU,36,38.3,6.8,15.4,0.43799999999999994,2.7,7.7,0.355,6.4,7.8,0.826,3.7,1.6,0.4,5.4,5.8,6.7,1.6,0.4,22.7
10,Bryson Scott,IPFW,33,31.1,7.5,16.4,0.457,1.5,5.1,0.29600000000000004,6.1,7.5,0.818,2.8,2.0,0.6,3.9,4.5,2.6,2.0,0.2,22.6
