#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Reggie Hamilton,OU,36,35.6,7.8,17.5,0.447,3.3,7.8,0.42,7.3,8.3,0.8759999999999999,3.7,2.8,0.7,3.1,3.8,5.1,2.0,0.1,26.2
2,Damian Lillard,WSU,32,34.6,7.2,15.5,0.467,2.9,7.2,0.409,7.1,8.0,0.887,2.3,1.9,0.5,4.5,5.0,4.0,1.5,0.2,24.5
3,Doug McDermott,CU,35,31.9,8.8,14.6,0.601,1.5,3.2,0.486,3.8,4.8,0.7959999999999999,2.3,1.7,2.4,5.8,8.2,1.1,0.2,0.1,22.9
4,Quincy Roberts,GSU,21,35.6,7.1,17.3,0.409,1.9,5.8,0.32,6.7,8.3,0.8,3.6,1.9,1.1,4.6,5.7,1.5,1.0,0.2,22.7
5,Shane Gibson,SHU,32,33.8,7.9,15.5,0.51,2.7,6.3,0.433,3.5,4.0,0.868,3.2,2.8,0.8,3.9,4.7,2.2,1.5,0.3,22.0
6,C.J. McCollum,LU,35,33.1,7.3,16.4,0.44299999999999995,1.7,5.0,0.341,5.7,7.0,0.8109999999999999,2.3,2.1,1.4,5.1,6.6,3.5,2.6,0.5,21.9
7,Terrell Stoglin,UMD,32,32.7,6.9,16.7,0.413,2.8,7.4,0.384,5.0,6.3,0.787,2.2,2.1,0.5,2.9,3.4,1.9,0.7,0.1,21.6
8,Angel Suero,ALB,32,31.7,6.9,15.0,0.45899999999999996,0.9,2.5,0.358,6.9,8.2,0.833,4.2,2.6,2.1,3.6,5.8,3.1,1.3,0.3,21.5
9,Nate Wolters,SDSU,34,35.8,7.4,16.4,0.44799999999999995,1.0,4.0,0.24100000000000002,5.5,7.1,0.7829999999999999,2.2,1.9,0.9,4.2,5.1,5.9,1.7,0.1,21.2
10,Frank Gaines,IPFW,30,32.0,6.9,15.5,0.446,1.6,4.7,0.345,5.7,7.7,0.748,2.6,3.0,1.3,4.6,5.9,1.2,1.4,0.6,21.2
11,Kevin Murphy,TTU,33,34.5,7.2,16.3,0.444,2.4,5.8,0.41600000000000004,3.8,5.2,0.725,3.3,2.2,0.9,4.3,5.2,2.3,0.8,0.2,20.6
12,Colt Ryan,UE,32,36.3,6.2,14.1,0.442,2.3,5.3,0.43799999999999994,5.8,6.8,0.8440000000000001,2.4,2.7,0.4,3.8,4.2,3.3,1.9,0.2,20.5
13,Nick Barbour,HP,31,32.7,6.0,13.4,0.446,3.5,7.2,0.484,5.0,6.0,0.8290000000000001,1.7,2.1,0.5,2.0,2.5,1.4,1.1,0.4,20.4
14,Alex Young,IUPUI,32,32.8,6.8,16.1,0.424,1.8,5.4,0.33899999999999997,4.9,6.0,0.8170000000000001,2.4,2.5,1.8,4.1,5.9,2.2,1.6,1.0,20.4
15,J'Covan Brown,UT,34,35.5,6.6,15.7,0.41700000000000004,2.4,6.4,0.369,4.6,5.4,0.863,2.7,1.9,0.9,2.5,3.4,3.8,1.2,0.1,20.1
16,John Shurna,NU,33,37.3,6.9,14.9,0.46299999999999997,2.9,6.5,0.44,3.3,4.4,0.753,1.6,1.7,1.5,3.9,5.4,2.8,1.3,1.6,20.0
17,Kevin Jones,WVU,33,38.4,7.9,15.5,0.509,1.0,3.9,0.266,3.1,4.0,0.78,1.3,1.2,4.3,6.6,10.9,1.2,0.7,1.0,19.9
18,Mike Moore,HOF,32,34.6,6.2,14.9,0.419,2.5,6.5,0.391,4.9,6.0,0.8170000000000001,2.9,2.2,0.7,3.8,4.6,2.1,1.7,0.1,19.9
19,John Jenkins,VU,35,33.6,6.2,13.1,0.474,3.8,8.7,0.439,3.7,4.4,0.8370000000000001,1.6,1.2,0.5,2.4,2.9,1.2,0.8,0.3,19.9
20,Dominique Morrison,ORU,34,36.5,6.3,13.0,0.488,1.6,3.8,0.423,5.6,6.7,0.825,1.7,2.9,1.0,3.3,4.3,1.6,0.8,0.4,19.8
21,Orlando Johnson,UCSB,31,34.4,6.7,14.8,0.452,2.3,5.3,0.42700000000000005,4.1,5.9,0.698,2.5,1.8,1.7,4.1,5.8,2.9,1.1,0.7,19.7
22,Darryl Partin,BU,32,33.6,6.8,16.8,0.40700000000000003,2.2,6.9,0.312,3.8,5.3,0.7190000000000001,3.2,1.8,1.2,2.8,3.9,1.1,1.1,0.1,19.6
23,Antwan Carter,LONG,31,34.1,7.9,15.5,0.51,0.7,2.4,0.307,2.8,3.9,0.721,2.3,3.2,2.5,6.6,9.1,1.3,1.0,0.9,19.4
24,Charles Odum,PSU,32,31.4,6.0,11.3,0.529,1.2,3.5,0.33899999999999997,5.9,7.1,0.833,2.9,2.2,0.8,3.1,3.9,2.6,0.9,0.2,19.1
25,Isaiah Canaan,MSU,33,33.7,5.7,12.1,0.46799999999999997,3.0,6.5,0.456,4.7,5.6,0.8370000000000001,2.7,1.7,0.8,2.6,3.5,3.6,1.4,0.1,19.0
26,George Beamon,MAN,33,31.9,6.4,13.1,0.486,1.8,4.3,0.42700000000000005,4.4,5.5,0.8009999999999999,2.7,2.1,1.6,4.0,5.6,2.0,1.5,0.5,19.0
27,Ken Horton,CCSU,28,34.5,6.9,14.0,0.491,1.6,5.2,0.313,3.6,4.5,0.802,1.9,2.6,2.8,6.2,8.9,1.7,2.1,1.4,19.0
28,Devon Saddler,UD,32,35.3,6.0,15.4,0.392,1.8,5.9,0.312,4.9,6.2,0.802,3.2,2.6,0.7,3.4,4.1,1.8,0.8,0.3,18.8
29,Tim Frazier,PSU,32,37.1,6.5,15.5,0.419,0.8,2.7,0.314,5.0,6.3,0.7909999999999999,3.7,2.9,1.4,3.3,4.7,6.2,2.4,0.2,18.8
30,Charlie Westbrook,USD,28,32.4,6.5,14.1,0.46399999999999997,1.3,3.4,0.389,4.3,5.6,0.7659999999999999,2.5,2.2,0.8,3.2,4.0,2.2,1.7,0.9,18.7
31,Wendell McKines,NMSU,35,33.7,6.7,14.4,0.461,1.5,4.1,0.35200000000000004,3.9,5.1,0.76,2.0,2.3,3.4,7.3,10.7,1.5,0.8,0.4,18.7
32,Andrew Nicholson,STBN,32,30.1,6.9,12.0,0.5710000000000001,0.7,1.7,0.434,4.0,5.2,0.7759999999999999,2.5,2.8,2.6,5.8,8.4,1.0,0.7,2.0,18.5
33,Charles Hinkle,AU,32,34.3,5.5,13.5,0.405,2.7,6.4,0.41700000000000004,4.9,5.8,0.8390000000000001,2.1,2.1,1.0,4.4,5.4,1.8,0.9,0.4,18.5
34,Mitch Albers,UNO,29,30.6,6.5,13.4,0.485,1.5,4.3,0.341,3.9,5.0,0.785,1.9,2.4,0.6,2.7,3.3,3.1,1.0,0.5,18.3
35,Trevis Simpson,UNCG,30,27.8,6.2,16.2,0.38299999999999995,2.0,6.5,0.311,3.9,5.2,0.755,2.2,3.1,1.4,2.8,4.2,0.7,0.8,0.2,18.3
36,Darius Johnson-Odom,MU,34,32.9,6.2,13.8,0.447,2.3,5.9,0.385,3.7,4.9,0.764,2.4,2.0,0.6,2.9,3.5,2.8,0.9,0.1,18.3
37,Mike Glover,IC,33,33.6,7.2,11.4,0.637,0.0,0.0,0.0,3.8,5.9,0.649,2.7,2.9,3.2,5.8,9.0,1.0,1.0,1.2,18.3
38,Darrion Pellum,HU,33,38.5,5.9,16.4,0.36200000000000004,2.2,7.4,0.29600000000000004,4.2,5.6,0.755,3.2,2.0,0.6,3.6,4.2,1.7,1.2,0.3,18.3
