#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Markus Howard,MU,29,33.2,8.2,19.3,0.42200000000000004,4.2,10.1,0.41200000000000003,7.3,8.6,0.847,3.4,2.4,0.6,2.9,3.5,3.3,0.9,0.0,27.8
2,Jhivvan Jackson,UTSA,32,34.5,9.1,21.7,0.418,3.8,10.7,0.354,4.8,5.7,0.852,2.8,3.2,0.9,4.7,5.6,2.4,1.4,0.2,26.8
3,Jermaine Marrow,HU,28,37.8,7.9,19.4,0.40700000000000003,2.1,7.2,0.294,6.9,9.0,0.762,3.0,3.1,0.8,2.5,3.2,6.5,1.2,0.1,24.8
4,Antoine Davis,UDM,30,36.8,7.9,20.8,0.38,3.4,10.4,0.324,5.1,5.7,0.9009999999999999,4.5,2.5,0.3,2.8,3.1,4.5,1.7,0.1,24.3
5,Luka Garza,UI,31,32.0,9.3,17.1,0.542,1.3,3.5,0.358,4.1,6.3,0.6509999999999999,1.8,2.5,3.6,6.3,9.8,1.2,0.8,1.8,23.9
6,Mike Smith,COM,30,37.8,8.3,19.3,0.431,2.1,6.1,0.33899999999999997,4.1,5.0,0.813,3.0,1.5,0.4,3.7,4.1,4.5,1.5,0.0,22.8
7,Jerrick Harding,WSU,29,33.9,8.1,16.6,0.488,2.1,6.5,0.32799999999999996,3.9,4.5,0.863,2.8,1.6,0.5,2.4,2.9,2.2,1.0,0.1,22.2
8,Mason Jones,U of A,31,33.8,6.2,13.6,0.45299999999999996,2.2,6.3,0.35100000000000003,7.5,9.1,0.826,3.2,3.3,0.7,4.7,5.5,3.4,1.6,0.2,22.0
9,Ben Stanley,HU,34,35.1,8.7,15.1,0.574,0.4,1.3,0.33299999999999996,4.2,6.6,0.643,1.9,2.4,2.3,4.9,7.2,0.7,0.4,1.5,22.0
10,Jordan Roland,NU,33,36.2,7.5,15.7,0.48200000000000004,2.9,7.3,0.39399999999999996,3.9,4.4,0.884,1.7,1.8,0.5,2.8,3.3,1.8,1.5,0.2,21.9
11,Grant Riller,C of C,31,33.5,7.3,14.7,0.499,1.5,4.2,0.36200000000000004,5.7,6.9,0.8270000000000001,3.1,2.3,0.5,4.6,5.1,3.9,1.6,0.3,21.9
12,Jordan Ford,SMC,34,38.0,7.9,16.1,0.49200000000000005,2.5,6.1,0.41100000000000003,3.4,4.1,0.836,1.5,1.1,0.6,2.5,3.0,2.3,1.4,0.0,21.9
13,Terry Taylor,APSU,33,36.6,8.6,15.7,0.55,1.2,3.9,0.32,3.2,5.0,0.652,2.4,1.9,4.0,7.0,11.0,1.4,1.3,1.3,21.8
14,Jalen Harris,UNR,30,33.0,7.4,16.7,0.446,2.2,6.2,0.36200000000000004,4.5,5.5,0.823,2.4,2.3,0.7,5.7,6.4,3.9,1.1,0.1,21.6
15,Tre'von Allen,U of I,30,33.7,7.6,17.0,0.449,2.1,5.2,0.4,4.2,5.2,0.8140000000000001,2.7,1.6,0.3,4.6,4.9,1.7,1.7,0.1,21.6
16,Marcus Burk,IUPUI,32,34.8,7.4,17.1,0.43200000000000005,2.9,7.5,0.386,3.6,4.5,0.7929999999999999,2.4,2.8,0.6,2.9,3.4,1.9,1.2,0.2,21.3
17,Myles Powell,SHU,28,31.6,7.0,17.5,0.39799999999999996,2.8,9.2,0.306,4.3,5.4,0.795,2.8,2.1,0.9,3.4,4.3,2.9,1.2,0.2,21.0
18,Nate Darling,UD,32,38.3,6.8,15.3,0.446,3.3,8.4,0.39899999999999997,4.0,4.7,0.8540000000000001,2.8,1.7,0.4,3.5,3.9,2.8,0.8,0.2,21.0
19,Nathan Knight,W&M,32,29.6,7.1,13.5,0.524,0.9,3.0,0.305,5.6,7.3,0.773,2.6,3.0,2.7,7.8,10.5,1.8,0.8,1.5,20.7
