#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
340,Gerald McLemore,UM,29,33.0,4.4,10.8,0.409,2.6,6.8,0.37799999999999995,2.3,2.7,0.872,1.2,1.6,0.3,1.9,2.2,1.3,1.0,0.2,13.7
341,Ben Botts,IPFW,30,30.6,4.7,9.9,0.473,2.0,4.5,0.449,2.3,2.8,0.843,1.2,1.5,0.6,2.6,3.2,2.2,0.8,0.2,13.7
342,Jordan Callahan,TU,30,34.3,4.7,11.5,0.41,2.1,5.5,0.373,2.2,3.0,0.736,2.6,2.7,0.6,1.9,2.6,4.1,1.4,0.1,13.7
343,Vincent Council,PROV,32,36.2,4.4,12.3,0.35600000000000004,1.5,4.3,0.33799999999999997,3.5,4.8,0.721,3.3,2.4,1.3,2.9,4.3,5.9,1.7,0.4,13.7
344,Scott Christopherson,ISU,31,35.8,4.9,11.5,0.426,2.8,6.3,0.441,1.1,1.4,0.773,1.5,0.9,0.3,2.9,3.1,2.5,0.7,0.0,13.7
345,Michael Lyons,AF,31,30.5,4.7,9.5,0.49700000000000005,0.8,2.5,0.321,3.4,4.3,0.789,2.3,2.3,1.0,2.5,3.5,1.9,1.0,0.4,13.7
346,Novar Gadson,RU,33,28.0,4.9,10.5,0.47,1.2,3.2,0.375,2.6,3.9,0.672,2.4,2.9,1.3,4.5,5.8,1.7,0.8,0.9,13.7
347,Juan Pattillo,WKU,32,29.8,5.0,10.0,0.498,0.0,0.1,0.0,3.7,5.6,0.654,3.0,2.9,3.0,6.1,9.1,1.4,1.5,1.8,13.7
348,Deonte Burton,UNR,32,29.6,4.0,9.5,0.42200000000000004,1.3,3.8,0.355,4.3,5.8,0.746,2.2,2.9,0.3,1.9,2.2,3.5,1.3,0.3,13.7
349,Blake Hoffarber,U of M,31,35.1,4.4,10.6,0.415,2.5,6.5,0.389,2.3,2.8,0.828,2.1,1.2,0.7,2.8,3.5,4.1,1.0,0.1,13.6
350,Drew Spradlin,ELON,31,26.1,4.7,11.3,0.419,1.8,5.1,0.363,2.3,3.5,0.667,1.9,2.4,1.0,3.0,4.1,1.3,0.5,0.2,13.6
351,Isaiah Wilkerson,NJIT,30,27.9,5.0,11.9,0.419,1.4,4.0,0.355,2.3,3.2,0.708,2.3,2.8,2.1,4.0,6.1,1.2,0.7,0.2,13.6
352,Casey Mitchell,WVU,30,23.5,4.5,10.6,0.42,2.2,5.9,0.379,2.5,2.8,0.871,1.7,1.2,1.0,1.8,2.8,1.1,0.7,0.2,13.6
353,Markieff Morris,KU,38,24.4,5.1,8.7,0.589,0.7,1.6,0.424,2.7,4.0,0.682,2.1,2.8,2.7,5.6,8.3,1.4,0.8,1.1,13.6
354,Jake Thomas,USD,31,32.8,3.8,10.5,0.363,2.8,8.0,0.34700000000000003,3.2,3.9,0.826,1.6,2.2,0.4,4.5,4.9,2.4,0.9,0.3,13.6
355,Durand Scott,UM,36,32.8,4.5,10.1,0.445,0.8,1.9,0.391,3.9,4.6,0.8370000000000001,2.8,2.6,1.2,3.1,4.3,3.1,1.2,0.1,13.6
356,Amin Stevens,FAMU,32,29.1,5.0,10.3,0.488,0.3,1.8,0.196,3.2,4.7,0.669,2.2,2.0,3.0,4.8,7.8,1.1,1.2,0.8,13.6
357,Mark Lyons,XAV,32,35.1,4.5,11.0,0.408,1.5,4.4,0.336,3.1,4.2,0.728,2.8,2.6,0.5,2.6,3.1,3.1,0.9,0.3,13.6
358,T.J. Robinson,LBSU,34,32.8,5.4,10.7,0.5,0.3,0.7,0.375,2.6,4.4,0.5870000000000001,2.3,2.3,2.9,7.2,10.1,1.0,0.6,0.1,13.6
359,Jonathan Moore,GWU,27,28.7,4.3,10.7,0.4,2.0,5.9,0.335,3.0,4.3,0.684,2.0,2.4,1.3,3.0,4.3,0.9,1.0,0.1,13.5
360,Ray McCallum,UDM,33,33.3,4.2,9.6,0.44,0.8,2.4,0.312,4.3,6.2,0.691,2.5,2.1,1.4,3.3,4.7,4.8,1.6,0.2,13.5
361,Nemanja Mitrovic,UP,32,30.5,4.5,9.9,0.45899999999999996,2.9,6.3,0.46299999999999997,1.5,1.8,0.845,1.8,2.2,0.5,2.8,3.3,1.6,0.8,0.1,13.5
362,Chase Simon,UDM,32,31.8,5.0,11.8,0.423,1.2,3.7,0.342,2.2,3.2,0.6990000000000001,2.4,3.1,1.2,3.0,4.2,1.6,1.2,0.2,13.5
