Pk,Tm,Player,College,Year
58,BOS,Lester Hudson,University of Tennessee at Martin,2009
59,LAL,Chinemelu Elonu,Texas A&M,2009
60,MIA,Robert Dozier,Memphis,2009
1,WAS,John Wall,Kentucky,2010
2,PHI,Evan Turner,Ohio State,2010
3,NJN,Derrick Favors,Georgia Tech,2010
4,MIN,Wesley Johnson,Syracuse,2010
5,SAC,DeMarcus Cousins,Kentucky,2010
6,GSW,Ekpe Udoh,Baylor,2010
7,DET,Greg Monroe,Georgetown,2010
8,LAC,Al-Farouq Aminu,Wake Forest,2010
9,UTA,Gordon Hayward,Butler,2010
10,IND,Paul George,Fresno State,2010
11,NOH,Cole Aldrich,Kansas,2010
12,MEM,Xavier Henry,Kansas,2010
13,TOR,Ed Davis,UNC,2010
14,HOU,Patrick Patterson,Kentucky,2010
15,MIL,Larry Sanders,VCU,2010
16,MIN,Luke Babbitt,Nevada,2010
18,OKC,Eric Bledsoe,Kentucky,2010
19,BOS,Avery Bradley,Texas,2010
20,SAS,James Anderson,Oklahoma State,2010
21,OKC,Craig Brackins,Iowa State,2010
22,POR,Elliot Williams,Memphis,2010
23,MIN,Trevor Booker,Clemson,2010
24,ATL,Damion James,Texas,2010
25,MEM,Dominique Jones,South Florida,2010
26,OKC,Quincy Pondexter,Washington,2010
27,NJN,Jordan Crawford,Xavier,2010
28,MEM,Greivis Vasquez,Maryland,2010
29,ORL,Daniel Orton,Kentucky,2010
30,WAS,Lazar Hayward,Marquette,2010
32,MIA,Dexter Pittman,Texas,2010
33,SAC,Hassan Whiteside,Marshall,2010
34,POR,Armon Johnson,Nevada,2010
36,DET,Terrico White,Ole Miss,2010
37,MIL,Darington Hobson,New Mexico,2010
38,NYK,Andy Rautins,Syracuse,2010
39,NYK,Landry Fields,Stanford,2010
40,IND,Lance Stephenson,Cincinnati,2010
41,MIA,Jarvis Varnado,Mississippi State,2010
42,MIA,Da'Sean Butler,West Virginia,2010
43,LAL,Devin Ebanks,West Virginia,2010
44,MIL,Jerome Jordan,Tulsa,2010
46,PHO,Gani Lawal,Georgia Tech,2010
47,MIL,Tiny Gallon,Oklahoma,2010
50,DAL,Solomon Alabi,Florida State,2010
51,OKC,Magnum Rolle,Louisiana Tech,2010
52,BOS,Luke Harangody,Notre Dame,2010
54,LAC,Willie Warren,Oklahoma,2010
55,UTA,Jeremy Evans,Western Kentucky,2010
56,MIN,Hamady N'Diaye,Rutgers University,2010
57,IND,Ryan Reid,Florida State,2010
58,LAL,Derrick Caracter,Texas-El Paso,2010
59,ORL,Stanley Robinson,UConn,2010
60,PHO,Dwayne Collins,Miami (FL),2010
1,CLE,Kyrie Irving,Duke,2011
2,MIN,Derrick Williams,Arizona,2011
4,CLE,Tristan Thompson,Texas,2011
8,DET,Brandon Knight,Kentucky,2011
9,CHA,Kemba Walker,UConn,2011
10,MIL,Jimmer Fredette,BYU,2011
11,GSW,Klay Thompson,Washington State,2011
12,UTA,Alec Burks,Colorado,2011
13,PHO,Markieff Morris,Kansas,2011
14,HOU,Marcus Morris,Kansas,2011
15,IND,Kawhi Leonard,San Diego State,2011
16,PHI,Nikola Vucevic,USC,2011
17,NYK,Iman Shumpert,Georgia Tech,2011
18,WAS,Chris Singleton,Florida State,2011
19,CHA,Tobias Harris,Tennessee,2011
21,POR,Nolan Smith,Duke,2011
22,DEN,Kenneth Faried,Morehead State University,2011
24,OKC,Reggie Jackson,Boston College,2011
25,BOS,MarShon Brooks,Providence,2011
26,DAL,Jordan Hamilton,Texas,2011
27,NJN,JaJuan Johnson,Purdue,2011
28,CHI,Norris Cole,Cleveland State University,2011
29,SAS,Cory Joseph,Texas,2011
30,CHI,Jimmy Butler,Marquette,2011
32,CLE,Justin Harper,Richmond,2011
33,DET,Kyle Singler,Duke,2011
34,WAS,Shelvin Mack,Butler,2011
35,SAC,Tyler Honeycutt,UCLA,2011
36,NJN,Jordan Williams,Maryland,2011
37,LAC,Trey Thompkins,Georgia,2011
38,HOU,Chandler Parsons,Florida,2011
40,MIL,Jon Leuer,Wisconsin,2011
41,LAL,Darius Morris,Michigan,2011
43,CHI,Malcolm Lee,UCLA,2011
44,GSW,Charles Jenkins,Hofstra,2011
45,NOH,Josh Harrellson,Kentucky,2011
46,LAL,Andrew Goudelock,College of Charleston,2011
47,LAC,Travis Leslie,Georgia,2011
48,ATL,Keith Benson,Oakland,2011
49,MEM,Josh Selby,Kansas,2011
50,PHI,Lavoy Allen,Temple,2011
51,POR,Jon Diebler,Ohio State,2011
52,DET,Vernon Macklin,Florida,2011
53,ORL,DeAndre Liggins,Kentucky,2011
55,BOS,E'Twaun Moore,Purdue,2011
60,SAC,Isaiah Thomas,Washington,2011
1,NOH,Anthony Davis,Kentucky,2012
2,CHA,Michael Kidd-Gilchrist,Kentucky,2012
3,WAS,Bradley Beal,Florida,2012
4,CLE,Dion Waiters,Syracuse,2012
5,SAC,Thomas Robinson,Kansas,2012
6,POR,Damian Lillard,Weber State,2012
7,GSW,Harrison Barnes,UNC,2012
8,TOR,Terrence Ross,Washington,2012
9,DET,Andre Drummond,UConn,2012
10,NOH,Austin Rivers,Duke,2012
11,POR,Meyers Leonard,Illinois,2012
12,HOU,Jeremy Lamb,UConn,2012
13,PHO,Kendall Marshall,UNC,2012
14,MIL,John Henson,UNC,2012
15,PHI,Maurice Harkless,St. John's,2012
16,HOU,Royce White,Iowa State,2012
17,DAL,Tyler Zeller,UNC,2012
18,HOU,Terrence Jones,Kentucky,2012
19,ORL,Andrew Nicholson,St. Bonaventure,2012
21,BOS,Jared Sullinger,Ohio State,2012
22,BOS,Fab Melo,Syracuse,2012
23,ATL,John Jenkins,Vanderbilt,2012
24,CLE,Jared Cunningham,Oregon State,2012
25,MEM,Tony Wroten,Washington,2012
26,IND,Miles Plumlee,Duke,2012
27,MIA,Arnett Moultrie,Mississippi State,2012
28,OKC,Perry Jones,Baylor,2012
29,CHI,Marquis Teague,Kentucky,2012
30,GSW,Festus Ezeli,Vanderbilt,2012
31,CHA,Jeff Taylor,Vanderbilt,2012
33,CLE,Bernard James,Florida State,2012
34,CLE,Jae Crowder,Marquette,2012
35,GSW,Draymond Green,Michigan State,2012
36,SAC,Orlando Johnson,UC Santa Barbara,2012
37,TOR,Quincy Acy,Baylor,2012
38,DEN,Quincy Miller,Baylor,2012
39,DET,Khris Middleton,Texas A&M,2012
40,POR,Will Barton,Memphis,2012
41,POR,Tyshawn Taylor,Kansas,2012
42,MIL,Doron Lamb,Kentucky,2012
43,ATL,Mike Scott,Virginia,2012
44,DET,Kim English,Missouri,2012
45,PHI,Justin Hamilton,LSU,2012
46,NOH,Darius Miller,Kentucky,2012
47,UTA,Kevin Murphy,Tennessee Technological University,2012
49,ORL,Kyle O'Quinn,Norfolk State,2012
51,BOS,Kris Joseph,Syracuse,2012
55,DAL,Darius Johnson-Odom,Marquette,2012
58,MIN,Robbie Hummel,Purdue,2012
59,SAS,Marcus Denmon,Missouri,2012
60,LAL,Robert Sacre,Gonzaga,2012
1,CLE,Anthony Bennett,UNLV,2013
2,ORL,Victor Oladipo,Indiana,2013
3,WAS,Otto Porter,Georgetown,2013
4,CHA,Cody Zeller,Indiana,2013
5,PHO,Alex Len,Maryland,2013
6,NOH,Nerlens Noel,Kentucky,2013
7,SAC,Ben McLemore,Kansas,2013
8,DET,Kentavious Caldwell-Pope,Georgia,2013
9,MIN,Trey Burke,Michigan,2013
10,POR,CJ McCollum,Lehigh,2013
11,PHI,Michael Carter-Williams,Syracuse,2013
12,OKC,Steven Adams,Pitt,2013
13,DAL,Kelly Olynyk,Gonzaga,2013
14,UTA,Shabazz Muhammad,UCLA,2013
18,ATL,Shane Larkin,Miami (FL),2013
20,CHI,Tony Snell,New Mexico,2013
21,UTA,Gorgui Dieng,Louisville,2013
22,BRK,Mason Plumlee,Duke,2013
23,IND,Solomon Hill,Arizona,2013
24,NYK,Tim Hardaway,Michigan,2013
25,LAC,Reggie Bullock,UNC,2013
26,MIN,Andre Roberson,Colorado,2013
29,OKC,Archie Goodwin,Kentucky,2013
31,CLE,Allen Crabbe,California,2013
33,CLE,Carrick Felix,Arizona State,2013
34,HOU,Isaiah Canaan,Murray State,2013
35,PHI,Glen Rice,Georgia Tech,2013
36,SAC,Ray McCallum,Detroit Mercy,2013
37,DET,Tony Mitchell,University of North Texas,2013
38,WAS,Nate Wolters,South Dakota State,2013
39,POR,Jeff Withey,Kansas,2013
40,POR,Grant Jerrett,Arizona,2013
41,MEM,Jamaal Franklin,San Diego State,2013
42,PHI,Pierre Jackson,Baylor,2013
43,MIL,Ricky Ledo,Providence,2013
44,DAL,Mike Muscala,Bucknell,2013
46,UTA,Erick Green,Virginia Tech,2013
48,LAL,Ryan Kelly,Duke,2013
49,CHI,Erik Murphy,Florida,2013
50,ATL,James Ennis,Cal State Long Beach,2013
51,ORL,Romero Osby,Oklahoma,2013
52,MIN,Lorenzo Brown,NC State,2013
53,IND,Colton Iverson,Colorado State,2013
54,WAS,Arsalan Kazemi,Oregon,2013
56,DET,Peyton Siva,Louisville,2013
57,PHO,Alex Oriakhi,Missouri,2013
58,SAS,Deshaun Thomas,Ohio State,2013
1,CLE,Andrew Wiggins,Kansas,2014
2,MIL,Jabari Parker,Duke,2014
3,PHI,Joel Embiid,Kansas,2014
4,ORL,Aaron Gordon,Arizona,2014
6,BOS,Marcus Smart,Oklahoma State,2014
7,LAL,Julius Randle,Kentucky,2014
8,SAC,Nik Stauskas,Michigan,2014
9,CHH,Noah Vonleh,Indiana,2014
10,PHI,Elfrid Payton,Louisiana,2014
11,DEN,Doug McDermott,Creighton,2014
13,MIN,Zach LaVine,UCLA,2014
14,PHO,T.J. Warren,NC State,2014
15,ATL,Adreian Payne,Michigan State,2014
17,BOS,James Young,Kentucky,2014
18,PHO,Tyler Ennis,Syracuse,2014
19,CHI,Gary Harris,Michigan State,2014
21,OKC,Mitch McGary,Michigan,2014
22,MEM,Jordan Adams,UCLA,2014
23,UTA,Rodney Hood,Duke,2014
24,CHH,Shabazz Napier,UConn,2014
26,MIA,P.J. Hairston,UNC,2014
28,LAC,C.J. Wilcox,Washington,2014
29,OKC,Josh Huestis,Stanford,2014
30,SAS,Kyle Anderson,UCLA,2014
32,PHI,K.J. McDaniels,Clemson,2014
33,CLE,Joe Harris,Virginia,2014
34,NYK,Cleanthony Early,Wichita State,2014
35,UTA,Jarnell Stokes,Tennessee,2014
36,MIL,Johnny O'Bryant,LSU,2014
37,TOR,DeAndre Daniels,UConn,2014
38,DET,Spencer Dinwiddie,Colorado,2014
39,PHI,Jerami Grant,Syracuse,2014
40,MIN,Glenn Robinson,Michigan,2014
42,HOU,Nick Johnson,Arizona,2014
44,MIN,Markel Brown,Oklahoma State,2014
45,CHH,Dwight Powell,Stanford,2014
46,WAS,Jordan Clarkson,Missouri,2014
47,PHI,Russ Smith,Louisville,2014
48,MIL,Lamar Patterson,Pitt,2014
49,CHI,Cameron Bairstow,New Mexico,2014
50,PHO,Alec Brown,Green Bay,2014
55,MIA,Semaj Christon,Xavier,2014
56,DEN,Devyn Marble,Iowa,2014
58,SAS,Jordan McRae,Tennessee,2014
59,TOR,Xavier Thames,San Diego State,2014
60,SAS,Cory Jefferson,Baylor,2014
1,MIN,Karl-Anthony Towns,Kentucky,2015
2,LAL,D'Angelo Russell,Ohio State,2015
3,PHI,Jahlil Okafor,Duke,2015
6,SAC,Willie Cauley-Stein,Kentucky,2015
8,DET,Stanley Johnson,Arizona,2015
9,CHO,Frank Kaminsky,Wisconsin,2015
10,MIA,Justise Winslow,Duke,2015
11,IND,Myles Turner,Texas,2015
12,UTA,Trey Lyles,Kentucky,2015
13,PHO,Devin Booker,Kentucky,2015
14,OKC,Cameron Payne,Murray State,2015
15,ATL,Kelly Oubre,Kansas,2015
16,BOS,Terry Rozier,Louisville,2015
17,MIL,Rashad Vaughn,UNLV,2015
18,HOU,Sam Dekker,Wisconsin,2015
19,WAS,Jerian Grant,Notre Dame,2015
20,TOR,Delon Wright,Utah,2015
21,DAL,Justin Anderson,Virginia,2015
22,CHI,Bobby Portis,Arkansas,2015
23,POR,Rondae Hollis-Jefferson,Arizona,2015
24,CLE,Tyus Jones,Duke,2015
25,MEM,Jarell Martin,LSU,2015
27,LAL,Larry Nance,Wyoming,2015
28,BOS,R.J. Hunter,Georgia State University,2015
29,BRK,Chris McCullough,Syracuse,2015
30,GSW,Kevon Looney,UCLA,2015
32,HOU,Montrezl Harrell,Louisville,2015
33,BOS,Jordan Mickey,LSU,2015
34,LAL,Anthony Brown,Stanford,2015
36,MIN,Rakeem Christmas,Syracuse,2015
37,PHI,Richaun Holmes,Bowling Green,2015
38,DET,Darrun Hilliard,Villanova,2015
40,MIA,Josh Richardson,Tennessee,2015
41,BRK,Pat Connaughton,Notre Dame,2015
42,UTA,Olivier Hanlan,Boston College,2015
43,IND,Joe Young,Oregon,2015
44,PHO,Andrew Harrison,Kentucky,2015
45,BOS,Marcus Thornton,William & Mary,2015
46,MIL,Norman Powell,UCLA,2015
48,OKC,Dakari Johnson,Kentucky,2015
49,WAS,Aaron White,Iowa,2015
51,ORL,Tyler Harvey,Eastern Washington,2015
53,CLE,Sir'Dominic Pointer,St. John's,2015
55,SAS,Cady Lalanne,UMass,2015
56,NOP,Branden Dawson,Michigan State,2015
58,PHI,J.P. Tokoto,UNC,2015
1,PHI,Ben Simmons,LSU,2016
2,LAL,Brandon Ingram,Duke,2016
3,BOS,Jaylen Brown,California,2016
5,MIN,Kris Dunn,Providence,2016
6,NOP,Buddy Hield,Oklahoma,2016
7,DEN,Jamal Murray,Kentucky,2016
8,SAC,Marquese Chriss,Washington,2016
9,TOR,Jakob Poeltl,Utah,2016
11,ORL,Domantas Sabonis,Gonzaga,2016
12,UTA,Taurean Prince,Baylor,2016
14,CHI,Denzel Valentine,Michigan State,2016
17,MEM,Wade Baldwin,Vanderbilt,2016
18,DET,Henry Ellenson,Marquette,2016
19,DEN,Malik Beasley,Florida State,2016
20,IND,Caris LeVert,Michigan,2016
21,ATL,DeAndre' Bembry,Saint Joseph's,2016
22,CHO,Malachi Richardson,Syracuse,2016
25,LAC,Brice Johnson,UNC,2016
27,TOR,Pascal Siakam,New Mexico State,2016
28,PHO,Skal Labissiere,Kentucky,2016
29,SAS,Dejounte Murray,Washington,2016
30,GSW,Damian Jones,Vanderbilt,2016
31,BOS,Deyonta Davis,Michigan State,2016
33,LAC,Cheick Diallo,Kansas,2016
34,PHO,Tyler Ulis,Kentucky,2016
36,MIL,Malcolm Brogdon,Virginia,2016
37,HOU,Chinanu Onuaku,Louisville,2016
38,MIL,Patrick McCaw,UNLV,2016
40,NOP,Diamond Stone,Maryland,2016
41,ORL,Stephen Zimmerman,UNLV,2016
42,UTA,Isaiah Whitehead,Seton Hall,2016
45,BOS,Demetrius Jackson,Notre Dame,2016
46,DAL,A.J. Hammons,Purdue,2016
47,ORL,Jake Layman,Maryland,2016
49,DET,Michael Gbinije,Syracuse,2016
50,IND,Georges Niang,Iowa State,2016
51,BOS,Ben Bentil,Providence,2016
52,UTA,Joel Bolomboy,Weber State,2016
54,ATL,Kay Felder,Oakland,2016
55,BRK,Marcus Paige,UNC,2016
56,DEN,Daniel Hamilton,UConn,2016
58,BOS,Abdel Nader,Iowa State,2016
59,SAC,Isaiah Cousins,Oklahoma,2016
60,UTA,Tyrone Wallace,California,2016
1,PHI,Markelle Fultz,Washington,2017
2,LAL,Lonzo Ball,UCLA,2017
3,BOS,Jayson Tatum,Duke,2017
4,PHO,Josh Jackson,Kansas,2017
5,SAC,De'Aaron Fox,Kentucky,2017
6,ORL,Jonathan Isaac,Florida State,2017
7,MIN,Lauri Markkanen,Arizona,2017
9,DAL,Dennis Smith,NC State,2017
10,SAC,Zach Collins,Gonzaga,2017
11,CHO,Malik Monk,Kentucky,2017
12,DET,Luke Kennard,Duke,2017
13,DEN,Donovan Mitchell,Louisville,2017
14,MIA,Bam Adebayo,Kentucky,2017
15,POR,Justin Jackson,UNC,2017
16,CHI,Justin Patton,Creighton,2017
17,MIL,D.J. Wilson,Michigan,2017
18,IND,T.J. Leaf,UCLA,2017
19,ATL,John Collins,Wake Forest,2017
20,POR,Harry Giles,Duke,2017
22,BRK,Jarrett Allen,Texas,2017
23,TOR,OG Anunoby,Indiana,2017
24,UTA,Tyler Lydon,Syracuse,2017
26,POR,Caleb Swanigan,Purdue,2017
27,BRK,Kyle Kuzma,Utah,2017
28,LAL,Tony Bradley,UNC,2017
29,SAS,Derrick White,Colorado,2017
30,UTA,Josh Hart,Villanova,2017
31,CHO,Frank Jackson,Duke,2017
32,PHO,Davon Reed,Miami (FL),2017
33,ORL,Wesley Iwundu,Kansas State,2017
34,SAC,Frank Mason,Kansas,2017
35,ORL,Ivan Rabb,California,2017
37,BOS,Semi Ojeleye,SMU,2017
38,CHI,Jordan Bell,Oregon,2017
39,PHI,Jawun Evans,Oklahoma State,2017
40,NOP,Dwayne Bacon,Florida State,2017
41,ATL,Tyler Dorsey,Oregon,2017
42,UTA,Thomas Bryant,Indiana,2017
44,NYK,Damyean Dotson,Oregon,2017
45,HOU,Dillon Brooks,Oregon,2017
46,PHI,Sterling Brown,SMU,2017
47,IND,Ike Anigbogu,UCLA,2017
48,MIL,Sindarius Thornwell,South Carolina,2017
51,DEN,Monte Morris,Iowa State,2017
52,NOP,Edmond Sumner,Xavier,2017
53,BOS,Kadeem Allen,Arizona,2017
54,PHO,Alec Peters,Valparaiso,2017
55,UTA,Nigel Williams-Goss,Gonzaga,2017
56,BOS,Jabari Bird,California,2017
59,SAS,Jaron Blossomgame,Clemson,2017
1,PHO,Deandre Ayton,Arizona,2018
2,SAC,Marvin Bagley,Duke,2018
4,MEM,Jaren Jackson,Michigan State,2018
5,DAL,Trae Young,Oklahoma,2018
6,ORL,Mo Bamba,Texas,2018
7,CHI,Wendell Carter,Duke,2018
8,CLE,Collin Sexton,Alabama,2018
9,NYK,Kevin Knox,Kentucky,2018
10,PHI,Mikal Bridges,Villanova,2018
11,CHO,Shai Gilgeous-Alexander,Kentucky,2018
12,LAC,Miles Bridges,Michigan State,2018
13,LAC,Jerome Robinson,Boston College,2018
14,DEN,Michael Porter,Missouri,2018
15,WAS,Troy Brown,Oregon,2018
16,PHO,Zhaire Smith,Texas Tech,2018
17,MIL,Donte DiVincenzo,Villanova,2018
18,SAS,Lonnie Walker,Miami (FL),2018
19,ATL,Kevin Huerter,Maryland,2018
20,MIN,Josh Okogie,Georgia Tech,2018
21,UTA,Grayson Allen,Duke,2018
22,CHI,Chandler Hutchison,Boise State,2018
23,IND,Aaron Holiday,UCLA,2018
25,LAL,Moritz Wagner,Michigan,2018
26,PHI,Landry Shamet,Wichita State,2018
27,BOS,Robert Williams,Texas A&M,2018
28,GSW,Jacob Evans,Cincinnati,2018
30,ATL,Omari Spellman,Villanova,2018
32,MEM,Jevon Carter,West Virginia,2018
33,DAL,Jalen Brunson,Villanova,2018
34,ATL,Devonte' Graham,Kansas,2018
35,ORL,Melvin Frazier,Tulane,2018
37,SAC,Gary Trent,Duke,2018
38,PHI,Khyri Thomas,Creighton,2018
41,ORL,Jarred Vanderbilt,Kentucky,2018
42,DET,Bruce Brown,Miami (FL),2018
43,DEN,Justin Jackson,Maryland,2018
45,BRK,Hamidou Diallo,Kentucky,2018
46,HOU,De'Anthony Melton,USC,2018
47,LAL,Sviatoslav Mykhailiuk,Kansas,2018
48,MIN,Keita Bates-Diop,Ohio State,2018
49,SAS,Chimezie Metu,USC,2018
50,IND,Alize Johnson,Missouri State,2018
51,NOP,Tony Carr,Penn State,2018
52,UTA,Vince Edwards,Purdue,2018
53,OKC,Devon Hall,Virginia,2018
54,DAL,Shake Milton,SMU,2018
