Pk,Tm,Player,College,Year
41,GSW,Eric Paschall,Villanova,2019
42,PHI,Admiral Schofield,Tennessee,2019
43,MIN,Jaylen Nowell,Washington,2019
44,MIA,Bol Bol,Oregon,2019
45,DET,Isaiah Roby,Nebraska,2019
46,ORL,Talen Horton-Tucker,Iowa State,2019
47,SAC,Ignas Brazdeikis,Michigan,2019
48,LAC,Terance Mann,Florida State,2019
49,SAS,Quinndary Weatherspoon,Mississippi State,2019
50,IND,Jarrell Brantley,College of Charleston,2019
51,BOS,Tremont Waters,LSU,2019
52,CHO,Jalen McDaniels,San Diego State,2019
53,UTA,Justin Wright-Foreman,Hofstra,2019
54,PHI,Marial Shayok,Iowa State,2019
55,NYK,Kyle Guy,Virginia,2019
56,LAC,Jaylen Hands,UCLA,2019
57,NOP,Jordan Bone,Tennessee,2019
58,GSW,Miye Oni,Yale,2019
59,TOR,Dewan Hernandez,Miami (FL),2019
