#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Doug McDermott,CU,35,33.7,9.4,17.9,0.526,2.7,6.1,0.449,5.1,5.9,0.8640000000000001,1.8,1.9,1.6,5.3,7.0,1.6,0.2,0.1,26.7
2,Antoine Mason,NU,33,37.6,8.2,18.5,0.44,1.5,5.1,0.28600000000000003,7.8,10.8,0.728,2.8,2.9,1.0,2.6,3.6,1.5,1.2,0.2,25.6
3,T.J. Warren,NCST,35,35.4,9.8,18.6,0.525,0.9,3.3,0.267,4.5,6.5,0.69,2.4,2.8,3.3,3.8,7.1,1.1,1.8,0.6,24.9
4,Billy Baron,CAN,34,39.0,7.3,15.6,0.46399999999999997,3.1,7.5,0.42100000000000004,6.5,7.3,0.884,3.0,1.1,0.5,4.4,4.9,5.3,1.6,0.0,24.1
5,Patrick Miller,TSU,30,37.7,7.7,17.1,0.447,1.5,4.4,0.336,6.9,8.9,0.7759999999999999,3.3,2.9,1.5,3.0,4.5,4.1,1.6,0.2,23.7
6,Tyler Haws,BYU,33,34.6,7.6,16.5,0.46299999999999997,1.2,3.0,0.40399999999999997,6.8,7.7,0.8809999999999999,1.9,2.3,1.0,2.8,3.8,1.5,1.0,0.3,23.2
7,D.J. Balentine,UE,33,37.9,6.9,16.0,0.434,2.4,5.9,0.39799999999999996,6.5,7.7,0.847,2.5,1.7,0.5,2.2,2.7,4.2,0.6,0.1,22.8
8,Tyler Harvey,EWU,31,37.4,6.6,15.0,0.44299999999999995,3.5,8.1,0.433,5.0,5.6,0.897,2.1,2.3,0.7,3.5,4.2,2.7,1.1,0.3,21.8
9,Bryce Cotton,PROV,35,39.9,6.6,15.7,0.419,2.2,6.0,0.36700000000000005,6.5,7.6,0.853,2.4,1.5,0.5,3.0,3.5,5.8,1.0,0.1,21.8
10,Aaric Murray,TSU,34,32.0,7.1,14.4,0.491,0.9,2.7,0.337,6.6,8.9,0.741,2.6,2.6,2.2,5.3,7.5,1.2,0.9,2.5,21.6
11,Kendrick Perry,YSU,32,36.5,6.7,13.3,0.506,1.9,5.4,0.35600000000000004,5.9,8.1,0.736,1.8,2.7,0.9,3.2,4.1,4.4,2.4,0.3,21.3
12,Shawn Glover,ORU,33,34.9,8.3,16.6,0.499,0.8,1.6,0.48100000000000004,4.0,4.8,0.83,2.2,2.0,1.3,4.5,5.8,1.5,0.8,1.6,21.3
13,James Daniel,HU,28,31.8,5.5,15.0,0.368,3.2,8.2,0.39399999999999996,6.6,8.3,0.7979999999999999,3.3,2.3,0.5,1.9,2.5,1.6,1.3,0.0,21.0
14,Jeremy Ingram,NCCU,34,34.4,6.2,14.2,0.439,2.0,5.4,0.37,6.4,8.2,0.7709999999999999,2.1,2.6,1.0,2.9,3.8,1.2,1.6,0.6,20.8
15,Roberto Nelson,OSU,32,32.9,6.2,14.0,0.447,1.8,4.5,0.39899999999999997,6.4,7.8,0.8240000000000001,3.1,2.2,1.1,2.3,3.4,3.6,1.0,0.0,20.7
16,Travis Bader,OU,33,37.6,5.6,14.5,0.386,4.5,10.9,0.408,5.0,5.3,0.943,1.3,3.0,0.3,2.5,2.8,1.4,0.9,0.1,20.6
