#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,James Daniel,HU,30,37.2,7.5,19.4,0.38799999999999996,2.7,8.0,0.332,9.3,11.0,0.846,4.1,2.1,0.7,1.5,2.2,2.8,2.0,0.2,27.1
2,Buddy Hield,OU,37,35.4,8.1,16.2,0.501,4.0,8.7,0.457,4.8,5.4,0.88,3.1,2.1,1.2,4.5,5.7,2.0,1.1,0.5,25.0
3,Kay Felder,OU,35,36.7,7.7,17.5,0.44,2.2,6.1,0.355,6.8,8.1,0.848,3.4,3.0,0.7,3.5,4.3,9.3,2.0,0.2,24.4
4,Josh Adams,UW,31,36.3,7.1,16.1,0.442,3.2,8.4,0.37799999999999995,6.8,8.3,0.821,3.7,2.8,0.6,5.0,5.6,4.3,1.4,0.6,24.2
5,Stefan Moody,UM,31,34.6,6.7,16.4,0.409,3.3,8.8,0.379,6.8,8.3,0.828,3.8,2.4,1.0,2.2,3.2,4.3,1.5,0.1,23.6
6,Cat Barber,NCST,33,38.7,7.5,17.3,0.434,1.3,3.6,0.361,7.2,8.3,0.865,2.6,2.2,0.6,3.9,4.6,4.5,0.6,0.1,23.5
7,Jack Gibbs,DAV,31,35.5,7.8,18.2,0.431,2.6,7.9,0.332,5.1,6.1,0.84,3.2,1.9,0.9,3.2,4.1,4.9,1.8,0.1,23.4
8,Cane Broome,SHU,30,37.5,7.9,17.7,0.445,2.2,7.1,0.311,5.2,6.8,0.768,3.8,2.4,0.6,4.4,4.9,2.9,1.7,0.0,23.1
9,Obi Emegano,ORU,29,35.4,7.2,16.7,0.434,1.8,4.6,0.381,6.8,8.0,0.853,1.8,2.4,1.0,4.2,5.1,1.8,1.1,0.3,23.1
10,A.J. English III,IC,28,35.9,6.8,15.7,0.433,3.4,9.1,0.37,5.6,6.8,0.836,3.6,2.1,0.5,4.5,5.0,6.2,1.6,0.5,22.6
11,Zeek Woodley,NSU,28,33.0,7.7,14.5,0.531,2.0,5.0,0.40700000000000003,4.8,5.4,0.887,2.0,2.4,1.7,3.5,5.2,1.6,1.0,0.6,22.2
12,Kevin Punter,UT,26,34.1,6.8,14.8,0.46,2.2,6.0,0.369,6.3,7.8,0.8170000000000001,2.5,2.8,0.2,3.3,3.5,3.5,1.4,0.2,22.2
