#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Aubrey Coleman,U of H,35,36.9,8.7,20.5,0.425,1.5,4.6,0.317,6.7,9.1,0.737,2.3,2.2,2.4,5.0,7.4,2.6,2.7,0.2,25.6
2,Adnan Hodzic,LIP,30,32.3,9.0,14.8,0.604,0.0,0.0,0.0,4.8,7.1,0.6759999999999999,2.7,2.2,3.4,5.6,9.1,0.8,0.5,0.4,22.7
3,Keith Haynes,UTA,30,33.3,7.2,14.8,0.483,2.1,5.1,0.409,6.2,8.3,0.746,3.6,2.1,0.8,3.5,4.3,3.7,1.5,0.3,22.6
4,Adrian Oliver,SJSU,31,36.1,7.4,17.0,0.43700000000000006,1.6,4.0,0.408,6.1,6.8,0.887,3.2,3.0,1.6,3.7,5.3,2.9,1.0,0.5,22.5
5,Devan Downey,USC,31,34.0,7.6,19.1,0.4,2.2,6.5,0.342,5.0,6.0,0.8340000000000001,3.5,2.3,0.5,2.7,3.3,3.5,2.7,0.0,22.5
6,James Anderson,OSU,33,34.1,6.8,15.0,0.457,2.2,6.6,0.341,6.3,7.8,0.81,2.4,2.7,1.9,3.9,5.9,2.5,1.4,0.6,22.3
7,Jimmer Fredette,BYU,34,31.1,6.6,14.4,0.45799999999999996,2.3,5.1,0.44,6.6,7.4,0.892,2.8,1.1,0.7,2.4,3.1,4.7,1.2,0.1,22.1
8,Landry Fields,SU,32,36.2,7.8,15.8,0.49,0.9,2.7,0.337,5.6,8.0,0.696,2.6,2.0,2.5,6.2,8.8,2.8,1.6,0.8,22.0
9,Luke Babbitt,UNR,34,37.1,7.4,14.8,0.5,1.2,3.0,0.41600000000000004,5.9,6.4,0.917,2.4,2.6,2.1,6.8,8.9,2.1,1.0,0.8,21.9
10,Luke Harangody,ND,30,33.0,8.1,16.9,0.48100000000000004,0.8,2.7,0.309,4.7,5.9,0.787,1.8,2.3,2.2,6.9,9.1,1.6,0.5,0.7,21.8
11,Michael DeLoach,NSU,30,35.9,7.9,15.8,0.502,1.2,3.8,0.313,4.7,6.9,0.6729999999999999,4.1,3.1,0.9,3.5,4.4,3.3,2.6,0.1,21.7
12,David Kool,WMY,33,35.0,6.7,14.9,0.449,1.9,5.3,0.358,6.3,7.1,0.897,2.2,1.6,1.1,3.0,4.1,2.6,1.8,0.0,21.6
13,Reggie Holmes,MSU,37,33.1,6.1,15.8,0.38799999999999996,2.7,7.5,0.35600000000000004,6.5,7.9,0.823,2.0,2.4,1.5,2.8,4.3,0.8,1.5,0.2,21.4
14,Dominique Jones,USF,33,37.1,6.7,14.9,0.45,1.6,5.1,0.311,6.3,8.5,0.741,3.0,2.8,1.1,5.0,6.1,3.6,1.7,0.6,21.4
15,Artsiom Parakhouski,RU,31,34.7,8.1,13.9,0.581,0.1,0.4,0.25,5.1,9.1,0.562,2.4,2.2,5.2,8.2,13.4,1.1,0.6,2.1,21.4
16,Omar Samhan,SMC,34,32.3,8.3,15.0,0.5529999999999999,0.0,0.0,0.0,4.7,6.5,0.727,2.1,3.0,3.5,7.3,10.8,1.0,0.4,2.9,21.3
17,Anatoly Bose,NSU,30,35.4,6.5,14.7,0.439,2.9,7.5,0.384,5.3,7.1,0.743,2.8,2.1,1.4,4.5,6.0,2.0,1.1,0.3,21.1
18,Chris Harris,USNA,30,34.9,6.1,17.1,0.35700000000000004,2.9,8.6,0.342,5.9,6.8,0.868,3.0,2.8,0.3,2.2,2.5,1.9,2.0,0.1,21.1
19,Denzel Bowles,JMU,25,32.8,8.1,13.7,0.594,0.0,0.0,0.0,4.6,6.9,0.6629999999999999,3.4,2.9,3.2,6.0,9.2,2.5,0.5,1.4,20.8
20,Charles Jenkins,HOF,34,36.3,6.9,15.6,0.44299999999999995,1.9,4.5,0.409,5.0,6.2,0.805,3.2,2.6,1.1,3.4,4.5,3.9,1.8,0.6,20.6
21,Jordan Crawford,XAV,35,32.8,7.4,16.1,0.462,2.3,5.8,0.391,3.4,4.4,0.773,2.4,1.6,1.0,3.8,4.7,2.9,1.3,0.2,20.5
