#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Erick Green,VT,32,36.6,8.2,17.2,0.475,1.9,4.9,0.389,6.8,8.3,0.816,2.2,1.4,0.5,3.5,4.0,3.8,1.3,0.2,25.0
2,Doug McDermott,CU,36,31.6,7.9,14.4,0.5479999999999999,2.1,4.4,0.49,5.2,6.0,0.875,2.6,1.6,1.6,6.1,7.7,1.6,0.2,0.1,23.2
3,Lamont Jones,IC,34,36.6,7.2,16.5,0.439,1.6,5.2,0.315,6.5,7.3,0.888,3.4,2.1,0.7,2.3,3.0,3.4,1.2,0.1,22.6
4,Nate Wolters,SDSU,33,38.1,7.3,15.1,0.485,1.9,5.1,0.379,5.7,7.0,0.813,2.3,1.5,1.1,4.5,5.6,5.8,1.7,0.1,22.3
5,Travis Bader,OU,33,38.2,6.2,15.8,0.39399999999999996,4.2,10.9,0.386,5.4,6.1,0.8859999999999999,1.4,2.8,0.4,2.5,2.9,1.0,0.9,0.1,22.1
6,Isaiah Canaan,MSU,31,36.5,6.9,16.1,0.431,3.0,8.2,0.37,4.9,6.0,0.8220000000000001,3.2,1.9,0.6,2.9,3.5,4.3,1.5,0.1,21.8
7,Tyler Haws,BYU,36,34.3,7.7,15.9,0.483,1.2,3.1,0.381,5.1,5.9,0.877,2.0,1.5,1.4,3.2,4.6,2.0,1.2,0.1,21.7
8,Kyle Vinales,CCSU,30,38.2,7.6,18.6,0.41100000000000003,2.7,7.3,0.365,3.7,4.6,0.804,3.3,2.0,0.3,1.8,2.0,3.8,1.4,0.1,21.6
9,Shane Gibson,SHU,29,32.8,7.3,16.3,0.447,3.0,7.2,0.41600000000000004,4.0,4.6,0.871,3.3,2.6,0.8,3.4,4.2,1.4,1.2,0.3,21.6
10,Stan Okoye,VMI,31,32.6,7.6,16.9,0.451,1.9,5.2,0.366,4.4,6.5,0.6679999999999999,3.2,2.2,2.5,6.8,9.4,2.6,1.5,0.4,21.5
11,Greg Gantt,FAU,32,36.8,7.3,17.2,0.42700000000000005,2.6,6.8,0.387,3.8,4.8,0.794,2.4,1.5,0.7,3.5,4.2,1.4,0.8,0.1,21.2
12,Khalif Wyatt,TEM,34,33.4,6.1,14.7,0.41700000000000004,2.2,7.0,0.316,6.0,7.2,0.836,3.1,2.2,0.4,2.5,2.9,4.0,1.7,0.2,20.5
13,Corey Hawkins,UCD,28,34.0,6.5,13.8,0.474,1.7,4.3,0.4,5.5,6.6,0.8420000000000001,2.6,2.2,0.9,4.8,5.6,3.3,1.5,0.2,20.3
14,Anthony Ireland,LMU,34,37.5,6.7,16.2,0.413,1.9,5.1,0.376,4.9,6.0,0.823,3.3,2.1,1.2,3.1,4.4,3.6,1.7,0.0,20.2
15,Colt Ryan,UE,34,33.0,6.4,15.2,0.424,1.9,4.7,0.39399999999999996,5.4,6.1,0.893,2.2,2.2,0.7,2.8,3.6,4.0,1.5,0.1,20.1
